Dataset,Package,File,"Number of errors"
top1k-typed-nodeps,arr-union,benchmark/code/for-in.ts,0
top1k-typed-nodeps,arr-union,benchmark/code/for.ts,1
top1k-typed-nodeps,arr-union,benchmark/code/reduce.ts,2
top1k-typed-nodeps,arr-union,benchmark/code/while-concat-push.ts,0
top1k-typed-nodeps,arr-union,benchmark/code/while-concat.ts,0
top1k-typed-nodeps,arr-union,benchmark/code/while-continue-for.ts,1
top1k-typed-nodeps,arr-union,benchmark/code/while-for-unique.ts,1
top1k-typed-nodeps,arr-union,benchmark/code/while-for.ts,1
top1k-typed-nodeps,arr-union,benchmark/code/while-push-apply.ts,1
top1k-typed-nodeps,arr-union,benchmark/code/while-seen.ts,0
top1k-typed-nodeps,arr-union,benchmark/code/while-while-unique.ts,1
top1k-typed-nodeps,arr-union,benchmark/code/while-while.ts,3
top1k-typed-nodeps,arr-union,benchmark/fixtures/five-arrays.ts,0
top1k-typed-nodeps,arr-union,benchmark/fixtures/ten-arrays.ts,0
top1k-typed-nodeps,arr-union,benchmark/fixtures/two-arrays.ts,0
top1k-typed-nodeps,arr-union,benchmark/index.ts,0
top1k-typed-nodeps,arr-union,index.ts,0
top1k-typed-nodeps,array-union,index.ts,0
top1k-typed-nodeps,array-uniq,index.ts,0
top1k-typed-nodeps,array-unique,benchmark/code/filter.ts,0
top1k-typed-nodeps,array-unique,benchmark/code/for-in.ts,0
top1k-typed-nodeps,array-unique,benchmark/code/linear-search-01.ts,0
top1k-typed-nodeps,array-unique,benchmark/code/set-immutable.ts,0
top1k-typed-nodeps,array-unique,benchmark/code/set.ts,0
top1k-typed-nodeps,array-unique,benchmark/code/while-hash.ts,0
top1k-typed-nodeps,array-unique,benchmark/code/while.ts,0
top1k-typed-nodeps,array-unique,benchmark/fixtures/long.ts,0
top1k-typed-nodeps,array-unique,benchmark/fixtures/med.ts,0
top1k-typed-nodeps,array-unique,benchmark/fixtures/short.ts,0
top1k-typed-nodeps,array-unique,benchmark/index.ts,0
top1k-typed-nodeps,array-unique,benchmark/randomize.ts,0
top1k-typed-nodeps,array-unique,index.ts,0
top1k-typed-nodeps,arrify,index.ts,0
top1k-typed-nodeps,assert-plus,assert.ts,4
top1k-typed-nodeps,astral-regex,index.ts,0
top1k-typed-nodeps,atob,bin/atob.ts,1
top1k-typed-nodeps,atob,browser-atob.ts,2
top1k-typed-nodeps,atob,node-atob.ts,2
top1k-typed-nodeps,aws4,aws4.ts,39
top1k-typed-nodeps,aws4,browser/index.ts,0
