"Dataset","Package","DeepTyper type checks","LambdaNet type checks","InCoder type checks","SantaCoder type checks"
top1k-typed-nodeps,negotiator,0,0,0,0
top1k-typed-nodeps,next-tick,0,0,0,0
top1k-typed-nodeps,nice-try,1,0,1,1
top1k-typed-nodeps,node-int64,0,0,0,0
top1k-typed-nodeps,normalize-path,0,0,0,0
top1k-typed-nodeps,normalize-url,0,0,0,0
top1k-typed-nodeps,number-is-nan,1,1,1,1
top1k-typed-nodeps,nwsapi,NA,0,0,0
top1k-typed-nodeps,object-assign,0,0,0,0
top1k-typed-nodeps,object-inspect,0,0,0,0
top1k-typed-nodeps,object-keys,0,0,0,0
top1k-typed-nodeps,on-headers,0,0,0,0
top1k-typed-nodeps,os-homedir,1,0,1,1
top1k-typed-nodeps,os-tmpdir,0,0,1,1
top1k-typed-nodeps,p-cancelable,0,NA,0,0
top1k-typed-nodeps,p-each-series,0,0,1,1
top1k-typed-nodeps,p-timeout,0,NA,0,0
top1k-typed-nodeps,p-try,0,0,0,1
top1k-typed-nodeps,parseurl,0,0,0,0
top1k-typed-nodeps,pascalcase,0,NA,0,0
top1k-typed-nodeps,path-browserify,0,0,0,0
top1k-typed-nodeps,path-exists,1,0,0,1
top1k-typed-nodeps,path-is-absolute,0,0,0,1
top1k-typed-nodeps,path-is-inside,1,0,1,0
top1k-typed-nodeps,path-key,0,0,0,0
top1k-typed-nodeps,path-parse,0,0,0,0
top1k-typed-nodeps,path-type,0,0,0,0
top1k-typed-nodeps,picomatch,NA,0,0,0
top1k-typed-nodeps,pify,0,0,1,0
top1k-typed-nodeps,postcss-modules-extract-imports,0,0,0,0
top1k-typed-nodeps,postcss-value-parser,0,0,0,0
top1k-typed-nodeps,prelude-ls,NA,0,0,0
top1k-typed-nodeps,prepend-http,1,0,0,0
top1k-typed-nodeps,progress,0,0,0,0
top1k-typed-nodeps,promise-inflight,1,NA,0,0
top1k-typed-nodeps,punycode,0,0,0,0
top1k-typed-nodeps,querystring,0,NA,0,0
top1k-typed-nodeps,querystringify,0,NA,0,0
top1k-typed-nodeps,queue-microtask,1,0,1,1
top1k-typed-nodeps,quick-lru,0,NA,0,0
top1k-typed-nodeps,range-parser,0,0,0,0
top1k-typed-nodeps,regenerate,NA,0,0,0
top1k-typed-nodeps,regexp-tree,NA,0,0,0
top1k-typed-nodeps,repeat-element,0,0,0,0
top1k-typed-nodeps,repeat-string,0,0,0,0
top1k-typed-nodeps,require-directory,0,0,0,0
top1k-typed-nodeps,require-from-string,1,NA,1,0
top1k-typed-nodeps,requires-port,1,1,1,1
top1k-typed-nodeps,resolve-from,NA,0,0,0
top1k-typed-nodeps,retry,0,0,0,0
top1k-typed-nodeps,rsvp,0,0,0,0
top1k-typed-nodeps,safe-buffer,0,0,0,0
top1k-typed-nodeps,safer-buffer,0,0,0,0
top1k-typed-nodeps,sax,NA,0,0,0
top1k-typed-nodeps,setimmediate,0,0,0,0
top1k-typed-nodeps,setprototypeof,1,0,0,1
top1k-typed-nodeps,shebang-regex,1,1,1,1
top1k-typed-nodeps,signal-exit,0,NA,0,0
top1k-typed-nodeps,sisteransi,0,0,0,0
top1k-typed-nodeps,slash,1,0,0,1
top1k-typed-nodeps,source-list-map,0,0,0,0
top1k-typed-nodeps,split-on-first,1,0,1,1
top1k-typed-nodeps,split-string,0,0,0,0
top1k-typed-nodeps,sprintf-js,0,0,0,0
top1k-typed-nodeps,stable,NA,0,0,0
top1k-typed-nodeps,statuses,0,0,0,0
top1k-typed-nodeps,stream-shift,1,0,0,0
top1k-typed-nodeps,strict-uri-encode,1,1,1,1
top1k-typed-nodeps,strip-bom,1,0,0,1
top1k-typed-nodeps,strip-final-newline,0,0,0,0
top1k-typed-nodeps,strip-json-comments,0,0,0,0
