"System","Dataset","Package","Type checks"
LambdaNet,top1k-typed-nodeps,tslib,0
LambdaNet,top1k-typed-nodeps,tweetnacl,0
LambdaNet,top1k-typed-nodeps,type,0
LambdaNet,top1k-typed-nodeps,typedarray-to-buffer,0
LambdaNet,top1k-typed-nodeps,universalify,0
LambdaNet,top1k-typed-nodeps,urix,0
LambdaNet,top1k-typed-nodeps,util-deprecate,0
LambdaNet,top1k-typed-nodeps,utils-merge,1
LambdaNet,top1k-typed-nodeps,uuid,0
LambdaNet,top1k-typed-nodeps,vary,0
LambdaNet,top1k-typed-nodeps,webidl-conversions,0
LambdaNet,top1k-typed-nodeps,webpack-sources,0
LambdaNet,top1k-typed-nodeps,whatwg-mimetype,0
LambdaNet,top1k-typed-nodeps,yallist,0
LambdaNet,top1k-typed-nodeps,yn,0
LambdaNet,top1k-typed-nodeps-es6,@xtuc_long,0
LambdaNet,top1k-typed-nodeps-es6,abab,0
LambdaNet,top1k-typed-nodeps-es6,abbrev,0
LambdaNet,top1k-typed-nodeps-es6,acorn-jsx,0
LambdaNet,top1k-typed-nodeps-es6,ansi-colors,0
LambdaNet,top1k-typed-nodeps-es6,ansi-regex,0
LambdaNet,top1k-typed-nodeps-es6,ansi-styles,0
LambdaNet,top1k-typed-nodeps-es6,argparse,0
LambdaNet,top1k-typed-nodeps-es6,arr-diff,0
LambdaNet,top1k-typed-nodeps-es6,arr-union,0
LambdaNet,top1k-typed-nodeps-es6,array-union,1
LambdaNet,top1k-typed-nodeps-es6,array-uniq,0
LambdaNet,top1k-typed-nodeps-es6,array-unique,0
LambdaNet,top1k-typed-nodeps-es6,arrify,0
LambdaNet,top1k-typed-nodeps-es6,assert-plus,0
LambdaNet,top1k-typed-nodeps-es6,astral-regex,0
LambdaNet,top1k-typed-nodeps-es6,atob,0
LambdaNet,top1k-typed-nodeps-es6,aws4,0
LambdaNet,top1k-typed-nodeps-es6,balanced-match,0
LambdaNet,top1k-typed-nodeps-es6,base64-js,0
LambdaNet,top1k-typed-nodeps-es6,boolbase,1
LambdaNet,top1k-typed-nodeps-es6,brorand,0
LambdaNet,top1k-typed-nodeps-es6,buffer-crc32,0
LambdaNet,top1k-typed-nodeps-es6,buffer-from,0
LambdaNet,top1k-typed-nodeps-es6,bytes,0
LambdaNet,top1k-typed-nodeps-es6,cacheable-lookup,0
LambdaNet,top1k-typed-nodeps-es6,callsites,0
LambdaNet,top1k-typed-nodeps-es6,camelcase,0
LambdaNet,top1k-typed-nodeps-es6,chownr,0
LambdaNet,top1k-typed-nodeps-es6,ci-info,0
LambdaNet,top1k-typed-nodeps-es6,cjs-module-lexer,0
LambdaNet,top1k-typed-nodeps-es6,clone,0
LambdaNet,top1k-typed-nodeps-es6,co,0
LambdaNet,top1k-typed-nodeps-es6,collect-v8-coverage,0
LambdaNet,top1k-typed-nodeps-es6,color-support,0
LambdaNet,top1k-typed-nodeps-es6,colorette,0
LambdaNet,top1k-typed-nodeps-es6,colors,0
LambdaNet,top1k-typed-nodeps-es6,content-type,0
LambdaNet,top1k-typed-nodeps-es6,cookie-signature,0
LambdaNet,top1k-typed-nodeps-es6,cookie,0
LambdaNet,top1k-typed-nodeps-es6,create-require,0
LambdaNet,top1k-typed-nodeps-es6,cssesc,0
LambdaNet,top1k-typed-nodeps-es6,cssom,0
LambdaNet,top1k-typed-nodeps-es6,decamelize,1
LambdaNet,top1k-typed-nodeps-es6,decimal.js,0
LambdaNet,top1k-typed-nodeps-es6,decode-uri-component,0
LambdaNet,top1k-typed-nodeps-es6,dedent,0
LambdaNet,top1k-typed-nodeps-es6,deepmerge,0
LambdaNet,top1k-typed-nodeps-es6,define-lazy-prop,0
LambdaNet,top1k-typed-nodeps-es6,delegates,0
LambdaNet,top1k-typed-nodeps-es6,depd,0
LambdaNet,top1k-typed-nodeps-es6,destroy,0
LambdaNet,top1k-typed-nodeps-es6,detect-newline,0
LambdaNet,top1k-typed-nodeps-es6,diff,0
LambdaNet,top1k-typed-nodeps-es6,dotenv,0
LambdaNet,top1k-typed-nodeps-es6,duplexer3,0
LambdaNet,top1k-typed-nodeps-es6,ee-first,0
LambdaNet,top1k-typed-nodeps-es6,emittery,0
LambdaNet,top1k-typed-nodeps-es6,emoji-regex,1
LambdaNet,top1k-typed-nodeps-es6,encodeurl,1
LambdaNet,top1k-typed-nodeps-es6,escalade,0
LambdaNet,top1k-typed-nodeps-es6,escape-html,0
LambdaNet,top1k-typed-nodeps-es6,escape-string-regexp,1
LambdaNet,top1k-typed-nodeps-es6,eslint-visitor-keys,0
LambdaNet,top1k-typed-nodeps-es6,estraverse,0
LambdaNet,top1k-typed-nodeps-es6,esutils,0
LambdaNet,top1k-typed-nodeps-es6,etag,0
LambdaNet,top1k-typed-nodeps-es6,eventemitter3,0
LambdaNet,top1k-typed-nodeps-es6,events,0
LambdaNet,top1k-typed-nodeps-es6,eventsource,0
LambdaNet,top1k-typed-nodeps-es6,exec-sh,0
LambdaNet,top1k-typed-nodeps-es6,exit,0
LambdaNet,top1k-typed-nodeps-es6,extend,0
LambdaNet,top1k-typed-nodeps-es6,extsprintf,0
LambdaNet,top1k-typed-nodeps-es6,fast-deep-equal,0
LambdaNet,top1k-typed-nodeps-es6,fast-json-stable-stringify,0
LambdaNet,top1k-typed-nodeps-es6,filter-obj,0
LambdaNet,top1k-typed-nodeps-es6,flatted,0
LambdaNet,top1k-typed-nodeps-es6,follow-redirects,0
LambdaNet,top1k-typed-nodeps-es6,forwarded,0
LambdaNet,top1k-typed-nodeps-es6,fraction.js,0
LambdaNet,top1k-typed-nodeps-es6,fresh,0
LambdaNet,top1k-typed-nodeps-es6,fsevents,0
LambdaNet,top1k-typed-nodeps-es6,function-bind,0
LambdaNet,top1k-typed-nodeps-es6,functional-red-black-tree,0
LambdaNet,top1k-typed-nodeps-es6,gensync,0
LambdaNet,top1k-typed-nodeps-es6,get-stdin,0
LambdaNet,top1k-typed-nodeps-es6,get-stream,0
LambdaNet,top1k-typed-nodeps-es6,glob-to-regexp,0
LambdaNet,top1k-typed-nodeps-es6,graceful-fs,0
LambdaNet,top1k-typed-nodeps-es6,hard-rejection,0
