"System","Dataset","Package","File","Number of anys","Number of any[]","Number of Function","Total annotations"
SantaCoder,top1k-typed-nodeps,async,lib/constant.ts,0,1,1,2
SantaCoder,top1k-typed-nodeps,async,lib/detect.ts,2,1,0,3
SantaCoder,top1k-typed-nodeps,async,lib/detectLimit.ts,2,1,0,4
SantaCoder,top1k-typed-nodeps,async,lib/detectSeries.ts,0,1,2,3
SantaCoder,top1k-typed-nodeps,async,lib/dir.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,async,lib/doUntil.ts,0,0,3,3
SantaCoder,top1k-typed-nodeps,async,lib/doWhilst.ts,2,1,1,7
SantaCoder,top1k-typed-nodeps,async,lib/each.ts,2,1,0,3
SantaCoder,top1k-typed-nodeps,async,lib/eachLimit.ts,0,1,2,4
SantaCoder,top1k-typed-nodeps,async,lib/eachOf.ts,3,1,6,11
SantaCoder,top1k-typed-nodeps,async,lib/eachOfLimit.ts,0,1,2,4
SantaCoder,top1k-typed-nodeps,async,lib/eachOfSeries.ts,2,1,0,3
SantaCoder,top1k-typed-nodeps,async,lib/eachSeries.ts,0,1,2,3
SantaCoder,top1k-typed-nodeps,async,lib/ensureAsync.ts,0,0,2,2
SantaCoder,top1k-typed-nodeps,async,lib/every.ts,2,1,0,3
SantaCoder,top1k-typed-nodeps,async,lib/everyLimit.ts,0,1,2,4
SantaCoder,top1k-typed-nodeps,async,lib/everySeries.ts,0,1,2,3
SantaCoder,top1k-typed-nodeps,async,lib/filter.ts,3,0,0,3
SantaCoder,top1k-typed-nodeps,async,lib/filterLimit.ts,2,1,0,4
SantaCoder,top1k-typed-nodeps,async,lib/filterSeries.ts,2,1,0,3
SantaCoder,top1k-typed-nodeps,async,lib/forever.ts,1,0,2,3
SantaCoder,top1k-typed-nodeps,async,lib/groupBy.ts,0,1,2,3
SantaCoder,top1k-typed-nodeps,async,lib/groupByLimit.ts,0,1,0,4
SantaCoder,top1k-typed-nodeps,async,lib/groupBySeries.ts,0,1,2,3
SantaCoder,top1k-typed-nodeps,async,lib/index.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,async,lib/internal/DoublyLinkedList.ts,2,0,0,2
SantaCoder,top1k-typed-nodeps,async,lib/internal/Heap.ts,2,0,0,4
SantaCoder,top1k-typed-nodeps,async,lib/internal/applyEach.ts,0,1,2,4
SantaCoder,top1k-typed-nodeps,async,lib/internal/asyncEachOfLimit.ts,6,0,0,7
SantaCoder,top1k-typed-nodeps,async,lib/internal/awaitify.ts,0,1,1,3
SantaCoder,top1k-typed-nodeps,async,lib/internal/breakLoop.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,async,lib/internal/consoleFunc.ts,0,0,0,1
SantaCoder,top1k-typed-nodeps,async,lib/internal/createTester.ts,2,0,0,2
SantaCoder,top1k-typed-nodeps,async,lib/internal/eachOfLimit.ts,2,0,0,2
SantaCoder,top1k-typed-nodeps,async,lib/internal/filter.ts,2,1,7,12
SantaCoder,top1k-typed-nodeps,async,lib/internal/getIterator.ts,1,0,0,1
SantaCoder,top1k-typed-nodeps,async,lib/internal/initialParams.ts,0,0,2,2
SantaCoder,top1k-typed-nodeps,async,lib/internal/isArrayLike.ts,1,0,0,1
SantaCoder,top1k-typed-nodeps,async,lib/internal/iterator.ts,1,1,0,4
SantaCoder,top1k-typed-nodeps,async,lib/internal/map.ts,0,1,0,4
SantaCoder,top1k-typed-nodeps,async,lib/internal/once.ts,0,1,1,2
SantaCoder,top1k-typed-nodeps,async,lib/internal/onlyOnce.ts,0,1,1,2
SantaCoder,top1k-typed-nodeps,async,lib/internal/parallel.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,async,lib/internal/promiseCallback.ts,1,1,0,2
