"System","Dataset","Package","Type checks"
tsc,top1k-typed-nodeps-es6,emoji-regex,1
tsc,top1k-typed-nodeps-es6,encodeurl,0
tsc,top1k-typed-nodeps-es6,escape-html,0
tsc,top1k-typed-nodeps-es6,escape-string-regexp,1
tsc,top1k-typed-nodeps-es6,eslint-visitor-keys,0
tsc,top1k-typed-nodeps-es6,estraverse,0
tsc,top1k-typed-nodeps-es6,events,0
tsc,top1k-typed-nodeps-es6,exec-sh,0
tsc,top1k-typed-nodeps-es6,exit,1
tsc,top1k-typed-nodeps-es6,extend,1
tsc,top1k-typed-nodeps-es6,extsprintf,0
tsc,top1k-typed-nodeps-es6,filesize,0
tsc,top1k-typed-nodeps-es6,filter-obj,0
tsc,top1k-typed-nodeps-es6,flatted,0
tsc,top1k-typed-nodeps-es6,follow-redirects,0
tsc,top1k-typed-nodeps-es6,forever-agent,0
tsc,top1k-typed-nodeps-es6,forwarded,0
tsc,top1k-typed-nodeps-es6,fresh,0
tsc,top1k-typed-nodeps-es6,fsevents,0
tsc,top1k-typed-nodeps-es6,function-bind,1
tsc,top1k-typed-nodeps-es6,functional-red-black-tree,1
tsc,top1k-typed-nodeps-es6,gensync,0
tsc,top1k-typed-nodeps-es6,get-stdin,1
tsc,top1k-typed-nodeps-es6,get-stream,0
tsc,top1k-typed-nodeps-es6,glob-to-regexp,1
tsc,top1k-typed-nodeps-es6,has-flag,1
tsc,top1k-typed-nodeps-es6,has-symbols,0
tsc,top1k-typed-nodeps-es6,html-escaper,0
tsc,top1k-typed-nodeps-es6,http-cache-semantics,0
tsc,top1k-typed-nodeps-es6,human-signals,0
tsc,top1k-typed-nodeps-es6,icss-utils,0
tsc,top1k-typed-nodeps-es6,ieee754,1
tsc,top1k-typed-nodeps-es6,iferr,1
tsc,top1k-typed-nodeps-es6,ignore,0
tsc,top1k-typed-nodeps-es6,import-from,1
tsc,top1k-typed-nodeps-es6,import-lazy,0
tsc,top1k-typed-nodeps-es6,indent-string,1
tsc,top1k-typed-nodeps-es6,ini,1
tsc,top1k-typed-nodeps-es6,interpret,1
tsc,top1k-typed-nodeps-es6,invert-kv,1
tsc,top1k-typed-nodeps-es6,ip-regex,1
tsc,top1k-typed-nodeps-es6,ip,0
tsc,top1k-typed-nodeps-es6,is-absolute-url,1
tsc,top1k-typed-nodeps-es6,is-buffer,1
tsc,top1k-typed-nodeps-es6,is-callable,0
tsc,top1k-typed-nodeps-es6,is-directory,1
tsc,top1k-typed-nodeps-es6,is-docker,1
tsc,top1k-typed-nodeps-es6,is-fullwidth-code-point,1
tsc,top1k-typed-nodeps-es6,is-generator-fn,1
tsc,top1k-typed-nodeps-es6,is-interactive,1
tsc,top1k-typed-nodeps-es6,is-number,0
tsc,top1k-typed-nodeps-es6,is-obj,1
tsc,top1k-typed-nodeps-es6,is-path-cwd,1
tsc,top1k-typed-nodeps-es6,is-path-inside,1
tsc,top1k-typed-nodeps-es6,is-plain-obj,0
tsc,top1k-typed-nodeps-es6,is-plain-object,1
tsc,top1k-typed-nodeps-es6,is-stream,1
tsc,top1k-typed-nodeps-es6,is-typedarray,1
tsc,top1k-typed-nodeps-es6,is-unicode-supported,1
tsc,top1k-typed-nodeps-es6,isarray,1
tsc,top1k-typed-nodeps-es6,isexe,1
tsc,top1k-typed-nodeps-es6,isobject,1
tsc,top1k-typed-nodeps-es6,isstream,1
tsc,top1k-typed-nodeps-es6,jest-pnp-resolver,0
tsc,top1k-typed-nodeps-es6,jsesc,0
tsc,top1k-typed-nodeps-es6,json-buffer,1
tsc,top1k-typed-nodeps-es6,json-parse-better-errors,1
tsc,top1k-typed-nodeps-es6,json-schema-traverse,1
tsc,top1k-typed-nodeps-es6,json-stringify-safe,1
tsc,top1k-typed-nodeps-es6,kleur,0
tsc,top1k-typed-nodeps-es6,klona,0
tsc,top1k-typed-nodeps-es6,leven,0
tsc,top1k-typed-nodeps-es6,load-json-file,0
tsc,top1k-typed-nodeps-es6,loader-runner,0
tsc,top1k-typed-nodeps-es6,lodash,0
tsc,top1k-typed-nodeps-es6,lowercase-keys,1
tsc,top1k-typed-nodeps-es6,make-error,1
tsc,top1k-typed-nodeps-es6,map-obj,1
tsc,top1k-typed-nodeps-es6,media-typer,1
tsc,top1k-typed-nodeps-es6,merge-descriptors,0
tsc,top1k-typed-nodeps-es6,merge-stream,0
tsc,top1k-typed-nodeps-es6,merge2,0
tsc,top1k-typed-nodeps-es6,mime-db,0
tsc,top1k-typed-nodeps-es6,mime,0
tsc,top1k-typed-nodeps-es6,mimic-fn,1
tsc,top1k-typed-nodeps-es6,mimic-response,0
tsc,top1k-typed-nodeps-es6,min-indent,1
tsc,top1k-typed-nodeps-es6,minimalistic-assert,1
tsc,top1k-typed-nodeps-es6,mkdirp,0
tsc,top1k-typed-nodeps-es6,mute-stream,0
tsc,top1k-typed-nodeps-es6,nanocolors,1
tsc,top1k-typed-nodeps-es6,nanoid,0
tsc,top1k-typed-nodeps-es6,negotiator,0
tsc,top1k-typed-nodeps-es6,nice-try,0
tsc,top1k-typed-nodeps-es6,normalize-path,0
tsc,top1k-typed-nodeps-es6,normalize-url,1
tsc,top1k-typed-nodeps-es6,number-is-nan,1
tsc,top1k-typed-nodeps-es6,object-assign,0
tsc,top1k-typed-nodeps-es6,object-inspect,0
tsc,top1k-typed-nodeps-es6,object-keys,0
tsc,top1k-typed-nodeps-es6,on-headers,0
tsc,top1k-typed-nodeps-es6,os-homedir,1
tsc,top1k-typed-nodeps-es6,os-tmpdir,1
tsc,top1k-typed-nodeps-es6,p-cancelable,0
tsc,top1k-typed-nodeps-es6,p-each-series,1
tsc,top1k-typed-nodeps-es6,p-timeout,0
tsc,top1k-typed-nodeps-es6,p-try,1
tsc,top1k-typed-nodeps-es6,pascalcase,1
tsc,top1k-typed-nodeps-es6,path-browserify,1
tsc,top1k-typed-nodeps-es6,path-exists,1
tsc,top1k-typed-nodeps-es6,path-is-absolute,1
tsc,top1k-typed-nodeps-es6,path-is-inside,1
tsc,top1k-typed-nodeps-es6,path-key,1
tsc,top1k-typed-nodeps-es6,path-parse,0
tsc,top1k-typed-nodeps-es6,path-type,1
tsc,top1k-typed-nodeps-es6,picomatch,0
tsc,top1k-typed-nodeps-es6,pify,1
tsc,top1k-typed-nodeps-es6,postcss-modules-extract-imports,0
tsc,top1k-typed-nodeps-es6,postcss-value-parser,0
tsc,top1k-typed-nodeps-es6,prepend-http,1
tsc,top1k-typed-nodeps-es6,progress,0
tsc,top1k-typed-nodeps-es6,promise-inflight,0
tsc,top1k-typed-nodeps-es6,punycode,0
tsc,top1k-typed-nodeps-es6,querystring,1
tsc,top1k-typed-nodeps-es6,querystringify,1
tsc,top1k-typed-nodeps-es6,queue-microtask,1
tsc,top1k-typed-nodeps-es6,quick-lru,0
tsc,top1k-typed-nodeps-es6,range-parser,0
tsc,top1k-typed-nodeps-es6,regenerate,0
tsc,top1k-typed-nodeps-es6,regexp-tree,0
tsc,top1k-typed-nodeps-es6,repeat-element,0
tsc,top1k-typed-nodeps-es6,repeat-string,0
tsc,top1k-typed-nodeps-es6,require-directory,1
tsc,top1k-typed-nodeps-es6,require-from-string,0
tsc,top1k-typed-nodeps-es6,requires-port,1
tsc,top1k-typed-nodeps-es6,resolve-from,0
tsc,top1k-typed-nodeps-es6,retry,1
tsc,top1k-typed-nodeps-es6,rsvp,0
tsc,top1k-typed-nodeps-es6,safer-buffer,0
tsc,top1k-typed-nodeps-es6,sax,0
tsc,top1k-typed-nodeps-es6,setimmediate,0
tsc,top1k-typed-nodeps-es6,setprototypeof,1
tsc,top1k-typed-nodeps-es6,shebang-regex,1
tsc,top1k-typed-nodeps-es6,signal-exit,0
tsc,top1k-typed-nodeps-es6,sisteransi,0
tsc,top1k-typed-nodeps-es6,slash,1
tsc,top1k-typed-nodeps-es6,source-list-map,1
tsc,top1k-typed-nodeps-es6,split-on-first,1
tsc,top1k-typed-nodeps-es6,split-string,0
tsc,top1k-typed-nodeps-es6,sprintf-js,0
tsc,top1k-typed-nodeps-es6,stable,0
tsc,top1k-typed-nodeps-es6,stream-shift,1
tsc,top1k-typed-nodeps-es6,strict-uri-encode,1
tsc,top1k-typed-nodeps-es6,strip-bom,1
tsc,top1k-typed-nodeps-es6,strip-final-newline,0
tsc,top1k-typed-nodeps-es6,strip-json-comments,0
tsc,top1k-typed-nodeps-es6,symbol-observable,0
tsc,top1k-typed-nodeps-es6,symbol-tree,1
tsc,top1k-typed-nodeps-es6,through,0
tsc,top1k-typed-nodeps-es6,tmpl,1
tsc,top1k-typed-nodeps-es6,to-fast-properties,0
tsc,top1k-typed-nodeps-es6,trim-newlines,1
tsc,top1k-typed-nodeps-es6,tweetnacl,0
tsc,top1k-typed-nodeps-es6,type,0
tsc,top1k-typed-nodeps-es6,typedarray-to-buffer,1
tsc,top1k-typed-nodeps-es6,universalify,1
tsc,top1k-typed-nodeps-es6,urix,1
tsc,top1k-typed-nodeps-es6,util-deprecate,1
tsc,top1k-typed-nodeps-es6,utils-merge,1
tsc,top1k-typed-nodeps-es6,uuid,0
tsc,top1k-typed-nodeps-es6,vary,0
tsc,top1k-typed-nodeps-es6,webidl-conversions,1
tsc,top1k-typed-nodeps-es6,webpack-sources,0
tsc,top1k-typed-nodeps-es6,whatwg-mimetype,0
tsc,top1k-typed-nodeps-es6,word-wrap,1
tsc,top1k-typed-nodeps-es6,xml-name-validator,0
tsc,top1k-typed-nodeps-es6,xtend,1
tsc,top1k-typed-nodeps-es6,yallist,0
tsc,top1k-typed-nodeps-es6,yn,0
tsc,top1k-typed-nodeps-es6,yocto-queue,1
tsc,top1k-typed-with-typed-deps,@sinonjs_commons,0
tsc,top1k-typed-with-typed-deps,accepts,0
tsc,top1k-typed-with-typed-deps,anymatch,0
tsc,top1k-typed-with-typed-deps,asn1,0
tsc,top1k-typed-with-typed-deps,brace-expansion,0
tsc,top1k-typed-with-typed-deps,braces,0
tsc,top1k-typed-with-typed-deps,call-bind,1
tsc,top1k-typed-with-typed-deps,color-convert,0
tsc,top1k-typed-with-typed-deps,color-string,0
tsc,top1k-typed-with-typed-deps,color,0
tsc,top1k-typed-with-typed-deps,compressible,1
tsc,top1k-typed-with-typed-deps,csso,0
tsc,top1k-typed-with-typed-deps,dashdash,0
tsc,top1k-typed-with-typed-deps,debug,0
tsc,top1k-typed-with-typed-deps,defaults,1
tsc,top1k-typed-with-typed-deps,domexception,0
tsc,top1k-typed-with-typed-deps,end-of-stream,1
tsc,top1k-typed-with-typed-deps,enhanced-resolve,0
tsc,top1k-typed-with-typed-deps,fb-watchman,0
tsc,top1k-typed-with-typed-deps,file-entry-cache,0
tsc,top1k-typed-with-typed-deps,fill-range,0
tsc,top1k-typed-with-typed-deps,flush-write-stream,0
tsc,top1k-typed-with-typed-deps,fs-extra,0
tsc,top1k-typed-with-typed-deps,get-intrinsic,0
tsc,top1k-typed-with-typed-deps,getpass,1
tsc,top1k-typed-with-typed-deps,glob-parent,1
tsc,top1k-typed-with-typed-deps,global-dirs,1
tsc,top1k-typed-with-typed-deps,global-modules,1
tsc,top1k-typed-with-typed-deps,global-prefix,1
tsc,top1k-typed-with-typed-deps,has,1
tsc,top1k-typed-with-typed-deps,hash.js,0
tsc,top1k-typed-with-typed-deps,hoist-non-react-statics,0
tsc,top1k-typed-with-typed-deps,html-encoding-sniffer,0
tsc,top1k-typed-with-typed-deps,is-core-module,0
tsc,top1k-typed-with-typed-deps,is-data-descriptor,1
tsc,top1k-typed-with-typed-deps,json5,0
tsc,top1k-typed-with-typed-deps,jsonfile,0
tsc,top1k-typed-with-typed-deps,lru-cache,0
tsc,top1k-typed-with-typed-deps,make-dir,0
tsc,top1k-typed-with-typed-deps,micromatch,0
tsc,top1k-typed-with-typed-deps,mime-types,0
