"System","Dataset","Package","File","Error code","Count"
DeepTyper,top1k-typed-nodeps,cookie,index.ts,TS2349,2
DeepTyper,top1k-typed-nodeps,cookie,index.ts,TS2678,4
DeepTyper,top1k-typed-nodeps,cookie,scripts/update-benchmark.ts,TS2339,2
DeepTyper,top1k-typed-nodeps,cookie,scripts/version-history.ts,TS2322,2
DeepTyper,top1k-typed-nodeps,cookie,scripts/version-history.ts,TS2339,2
DeepTyper,top1k-typed-nodeps,cookie-signature,index.ts,TS2403,1
DeepTyper,top1k-typed-nodeps,cookie-signature,index.ts,TS2339,2
DeepTyper,top1k-typed-nodeps,decamelize,index.ts,TS2322,1
DeepTyper,top1k-typed-nodeps,decamelize,index.ts,TS2349,1
DeepTyper,top1k-typed-nodeps,decode-uri-component,index.ts,TS2339,2
DeepTyper,top1k-typed-nodeps,decode-uri-component,index.ts,TS2322,3
DeepTyper,top1k-typed-nodeps,decode-uri-component,index.ts,TS2345,3
DeepTyper,top1k-typed-nodeps,decode-uri-component,index.ts,TS2554,2
DeepTyper,top1k-typed-nodeps,deepmerge,index.ts,TS2322,1
DeepTyper,top1k-typed-nodeps,deepmerge,index.ts,TS2769,1
DeepTyper,top1k-typed-nodeps,deepmerge,rollup.config.ts,TS2307,2
DeepTyper,top1k-typed-nodeps,deepmerge,rollup.config.ts,TS2732,1
DeepTyper,top1k-typed-nodeps,define-lazy-prop,index.ts,TS2322,2
DeepTyper,top1k-typed-nodeps,define-lazy-prop,index.ts,TS2349,2
DeepTyper,top1k-typed-nodeps,delegates,index.ts,TS2350,1
DeepTyper,top1k-typed-nodeps,depd,index.ts,TS2322,4
DeepTyper,top1k-typed-nodeps,depd,index.ts,TS2393,3
DeepTyper,top1k-typed-nodeps,depd,index.ts,TS2339,2
DeepTyper,top1k-typed-nodeps,depd,lib/browser/index.ts,TS2393,3
DeepTyper,top1k-typed-nodeps,depd,lib/browser/index.ts,TS2322,1
DeepTyper,top1k-typed-nodeps,detect-newline,index.ts,TS2322,3
DeepTyper,top1k-typed-nodeps,detect-newline,index.ts,TS2363,1
DeepTyper,top1k-typed-nodeps,detect-newline,index.ts,TS2365,1
DeepTyper,top1k-typed-nodeps,diff,rollup.config.ts,TS2307,1
DeepTyper,top1k-typed-nodeps,diff,rollup.config.ts,TS2732,1
DeepTyper,top1k-typed-nodeps,diff,src/convert/dmp.ts,TS2304,1
