"System","Dataset","Package","File","Error code","Count"
SantaCoder,top1k-typed-nodeps,big.js,perf/lib/bigdecimal_GWT/bigdecimal.ts,TS2345,535
SantaCoder,top1k-typed-nodeps,big.js,perf/lib/bigdecimal_GWT/bigdecimal.ts,TS18050,1
SantaCoder,top1k-typed-nodeps,big.js,perf/lib/bigdecimal_GWT/bigdecimal.ts,TS2749,54
SantaCoder,top1k-typed-nodeps,big.js,perf/lib/bigdecimal_GWT/bigdecimal.ts,TS2322,2
SantaCoder,top1k-typed-nodeps,big.js,perf/lib/bigdecimal_GWT/bigdecimal.ts,TS2542,1
SantaCoder,top1k-typed-nodeps,big.js,perf/lib/bigdecimal_GWT/bigdecimal.ts,TS2356,1
SantaCoder,top1k-typed-nodeps,big.js,perf/lib/bigdecimal_GWT/bigdecimal.ts,TS2362,2
SantaCoder,top1k-typed-nodeps,big.js,perf/lib/bigdecimal_GWT/bigdecimal.ts,TS2363,3
SantaCoder,top1k-typed-nodeps,big.js,perf/lib/bigdecimal_GWT/bigdecimal.ts,TS2304,19
SantaCoder,top1k-typed-nodeps,big.js,perf/lib/bigdecimal_GWT/bigdecimal.ts,TS2407,1
SantaCoder,top1k-typed-nodeps,big.js,perf/lib/bigdecimal_GWT/bigdecimal.ts,TS2367,1
SantaCoder,top1k-typed-nodeps,big.js,perf/lib/bigdecimal_GWT/bigdecimal.ts,TS2403,1
SantaCoder,top1k-typed-nodeps,big.js,perf/lib/bigdecimal_GWT/bigdecimal.ts,TS2447,1
SantaCoder,top1k-typed-nodeps,big.js,perf/lib/bigdecimal_GWT/bigdecimal.ts,TS2554,7
SantaCoder,top1k-typed-nodeps,big.js,perf/lib/bigdecimal_GWT/bigdecimal.ts,TS2551,1
SantaCoder,top1k-typed-nodeps,big.js,perf/lib/bigdecimal_ICU4J/BigDecimal-all-last.min.ts,TS2403,6
SantaCoder,top1k-typed-nodeps,big.js,perf/lib/bigdecimal_ICU4J/BigDecimal-all-last.min.ts,TS2339,63
SantaCoder,top1k-typed-nodeps,big.js,perf/lib/bigdecimal_ICU4J/BigDecimal-all-last.min.ts,TS2554,4
SantaCoder,top1k-typed-nodeps,big.js,perf/lib/bigdecimal_ICU4J/BigDecimal-all-last.min.ts,TS2365,7
SantaCoder,top1k-typed-nodeps,big.js,perf/lib/bigdecimal_ICU4J/BigDecimal-all-last.min.ts,TS2367,11
SantaCoder,top1k-typed-nodeps,big.js,perf/lib/bigdecimal_ICU4J/BigDecimal-all-last.min.ts,TS2322,14
SantaCoder,top1k-typed-nodeps,big.js,perf/lib/bigdecimal_ICU4J/BigDecimal-all-last.min.ts,TS2749,2
SantaCoder,top1k-typed-nodeps,big.js,perf/lib/bigdecimal_ICU4J/BigDecimal-all-last.min.ts,TS2304,3
SantaCoder,top1k-typed-nodeps,big.js,perf/lib/bigdecimal_ICU4J/BigDecimal-all-last.ts,TS2554,4
SantaCoder,top1k-typed-nodeps,big.js,perf/lib/bigdecimal_ICU4J/BigDecimal-all-last.ts,TS2503,1
SantaCoder,top1k-typed-nodeps,big.js,perf/lib/bigdecimal_ICU4J/BigDecimal-all-last.ts,TS2749,7
SantaCoder,top1k-typed-nodeps,big.js,perf/lib/bigdecimal_ICU4J/BigDecimal-all-last.ts,TS2365,8
SantaCoder,top1k-typed-nodeps,big.js,perf/lib/bigdecimal_ICU4J/BigDecimal-all-last.ts,TS2367,10
SantaCoder,top1k-typed-nodeps,big.js,perf/lib/bigdecimal_ICU4J/BigDecimal-all-last.ts,TS2363,3
SantaCoder,top1k-typed-nodeps,big.js,perf/lib/bigdecimal_ICU4J/BigDecimal-all-last.ts,TS2322,2
SantaCoder,top1k-typed-nodeps,big.js,perf/lib/bigdecimal_ICU4J/BigDecimal-all-last.ts,TS2339,21
SantaCoder,top1k-typed-nodeps,big.js,perf/lib/bigdecimal_ICU4J/BigDecimal-all-last.ts,TS2304,5
SantaCoder,top1k-typed-nodeps,bn.js,benchmarks/index.ts,TS2403,1
SantaCoder,top1k-typed-nodeps,bn.js,benchmarks/index.ts,TS2339,61
SantaCoder,top1k-typed-nodeps,bn.js,benchmarks/index.ts,TS2365,1
SantaCoder,top1k-typed-nodeps,bn.js,benchmarks/index.ts,TS2737,1
SantaCoder,top1k-typed-nodeps,bn.js,benchmarks/index.ts,TS2304,10
SantaCoder,top1k-typed-nodeps,bn.js,lib/bn.ts,TS2339,31
SantaCoder,top1k-typed-nodeps,bn.js,lib/bn.ts,TS2749,106
SantaCoder,top1k-typed-nodeps,bn.js,lib/bn.ts,TS2304,2
SantaCoder,top1k-typed-nodeps,bn.js,lib/bn.ts,TS2367,2
SantaCoder,top1k-typed-nodeps,bn.js,lib/bn.ts,TS2554,61
SantaCoder,top1k-typed-nodeps,bn.js,lib/bn.ts,TS2350,27
SantaCoder,top1k-typed-nodeps,bn.js,lib/bn.ts,TS2540,2
SantaCoder,top1k-typed-nodeps,bn.js,lib/bn.ts,TS2503,1
SantaCoder,top1k-typed-nodeps,bn.js,util/genCombMulTo.ts,TS2393,1
SantaCoder,top1k-typed-nodeps,bn.js,util/genCombMulTo10.ts,TS2393,1
SantaCoder,top1k-typed-nodeps,brorand,index.ts,TS2551,3
SantaCoder,top1k-typed-nodeps,brorand,index.ts,TS2403,1
SantaCoder,top1k-typed-nodeps,brorand,index.ts,TS2339,2
SantaCoder,top1k-typed-nodeps,browser-process-hrtime,index.ts,TS2403,1
SantaCoder,top1k-typed-nodeps,browser-process-hrtime,index.ts,TS2339,2
SantaCoder,top1k-typed-nodeps,browser-process-hrtime,index.ts,TS2551,2
SantaCoder,top1k-typed-nodeps,buffer-crc32,index.ts,TS2740,1
SantaCoder,top1k-typed-nodeps,buffer-crc32,index.ts,TS2339,1
SantaCoder,top1k-typed-nodeps,buffer-from,index.ts,TS2300,1
SantaCoder,top1k-typed-nodeps,bytes,index.ts,TS2304,2
SantaCoder,top1k-typed-nodeps,bytes,index.ts,TS4078,2
SantaCoder,top1k-typed-nodeps,cacheable-lookup,benchmark.ts,TS2451,1
SantaCoder,top1k-typed-nodeps,cacheable-lookup,source/index.ts,TS2488,1
SantaCoder,top1k-typed-nodeps,cacheable-lookup,source/index.ts,TS2451,1
SantaCoder,top1k-typed-nodeps,cacheable-lookup,source/index.ts,TS2339,51
SantaCoder,top1k-typed-nodeps,cacheable-lookup,source/index.ts,TS2551,23
SantaCoder,top1k-typed-nodeps,cacheable-lookup,source/index.ts,TS2554,1
SantaCoder,top1k-typed-nodeps,cacheable-lookup,source/index.ts,TS2550,1
SantaCoder,top1k-typed-nodeps,camelcase,index.ts,TS2304,1
SantaCoder,top1k-typed-nodeps,camelcase,index.ts,TS4078,1
SantaCoder,top1k-typed-nodeps,caniuse-lite,check-mdn-bcd.ts,TS2451,3
SantaCoder,top1k-typed-nodeps,caniuse-lite,check.ts,TS2451,3
SantaCoder,top1k-typed-nodeps,caniuse-lite,commit.ts,TS2451,1
SantaCoder,top1k-typed-nodeps,caniuse-lite,consumer.ts,TS2451,1
SantaCoder,top1k-typed-nodeps,caniuse-lite,copy-mdn.ts,TS2339,1
SantaCoder,top1k-typed-nodeps,caniuse-lite,copy-mdn.ts,TS2367,1
SantaCoder,top1k-typed-nodeps,caniuse-lite,copy-mdn.ts,TS2304,1
SantaCoder,top1k-typed-nodeps,caniuse-lite,copy-mdn.ts,TS4078,1
SantaCoder,top1k-typed-nodeps,caniuse-lite,copy-mdn.ts,TS2451,1
SantaCoder,top1k-typed-nodeps,caniuse-lite,dist/unpacker/agents.ts,TS2451,2
SantaCoder,top1k-typed-nodeps,caniuse-lite,dist/unpacker/agents.ts,TS2339,6
SantaCoder,top1k-typed-nodeps,caniuse-lite,dist/unpacker/feature.ts,TS2451,4
SantaCoder,top1k-typed-nodeps,caniuse-lite,dist/unpacker/feature.ts,TS2551,1
SantaCoder,top1k-typed-nodeps,caniuse-lite,dist/unpacker/feature.ts,TS2345,1
SantaCoder,top1k-typed-nodeps,caniuse-lite,dist/unpacker/region.ts,TS2451,1
SantaCoder,top1k-typed-nodeps,caniuse-lite,src/lib/base62.ts,TS2451,2
SantaCoder,top1k-typed-nodeps,caniuse-lite,src/lib/generateCode.ts,TS2451,2
SantaCoder,top1k-typed-nodeps,caniuse-lite,src/lib/generateCode.ts,TS2503,1
SantaCoder,top1k-typed-nodeps,caniuse-lite,src/lib/generateCode.ts,TS4078,1
SantaCoder,top1k-typed-nodeps,caniuse-lite,src/lib/getContents.ts,TS2451,2
SantaCoder,top1k-typed-nodeps,caniuse-lite,src/lib/moduleExports.ts,TS2451,2
SantaCoder,top1k-typed-nodeps,caniuse-lite,src/lib/moduleExports.ts,TS2503,1
SantaCoder,top1k-typed-nodeps,caniuse-lite,src/lib/moduleExports.ts,TS4078,1
SantaCoder,top1k-typed-nodeps,caniuse-lite,src/lib/runTasks.ts,TS2304,2
SantaCoder,top1k-typed-nodeps,caniuse-lite,src/lib/runTasks.ts,TS4078,1
SantaCoder,top1k-typed-nodeps,caniuse-lite,src/lib/stringifyObject.ts,TS2451,3
SantaCoder,top1k-typed-nodeps,caniuse-lite,src/packer/agents.ts,TS2451,7
SantaCoder,top1k-typed-nodeps,caniuse-lite,src/packer/agents.ts,TS2304,4
SantaCoder,top1k-typed-nodeps,caniuse-lite,src/packer/agents.ts,TS4078,4
SantaCoder,top1k-typed-nodeps,caniuse-lite,src/packer/agents.ts,TS2339,11
SantaCoder,top1k-typed-nodeps,caniuse-lite,src/packer/browsers.ts,TS2451,5
SantaCoder,top1k-typed-nodeps,caniuse-lite,src/packer/browsers.ts,TS2304,1
SantaCoder,top1k-typed-nodeps,caniuse-lite,src/packer/browsers.ts,TS4078,1
SantaCoder,top1k-typed-nodeps,caniuse-lite,src/packer/feature.ts,TS2451,18
SantaCoder,top1k-typed-nodeps,caniuse-lite,src/packer/feature.ts,TS2304,1
SantaCoder,top1k-typed-nodeps,caniuse-lite,src/packer/feature.ts,TS4078,1
SantaCoder,top1k-typed-nodeps,caniuse-lite,src/packer/feature.ts,TS2339,3
SantaCoder,top1k-typed-nodeps,caniuse-lite,src/packer/feature.ts,TS2538,3
SantaCoder,top1k-typed-nodeps,caniuse-lite,src/packer/index.ts,TS2451,2
SantaCoder,top1k-typed-nodeps,caniuse-lite,src/packer/region.ts,TS2451,10
SantaCoder,top1k-typed-nodeps,caniuse-lite,src/packer/region.ts,TS2339,3
SantaCoder,top1k-typed-nodeps,caniuse-lite,src/util/fromEntries.ts,TS2451,1
SantaCoder,top1k-typed-nodeps,caniuse-lite,src/util/invertObj.ts,TS2451,1
SantaCoder,top1k-typed-nodeps,caniuse-lite,src/util/invertObj.ts,TS2538,1
SantaCoder,top1k-typed-nodeps,caniuse-lite,src/util/parseDecimal.ts,TS2451,1
SantaCoder,top1k-typed-nodeps,caniuse-lite,src/util/sum.ts,TS2451,1
SantaCoder,top1k-typed-nodeps,caseless,index.ts,TS18047,1
SantaCoder,top1k-typed-nodeps,caseless,index.ts,TS2503,2
SantaCoder,top1k-typed-nodeps,ci-info,index.ts,TS2304,3
SantaCoder,top1k-typed-nodeps,cjs-module-lexer,lexer.ts,TS1005,1
SantaCoder,top1k-typed-nodeps,cjs-module-lexer,lexer.ts,TS4078,1
SantaCoder,top1k-typed-nodeps,cjs-module-lexer,src/lexer.ts,TS1005,1
SantaCoder,top1k-typed-nodeps,cli-spinners,example-all.ts,TS2451,4
SantaCoder,top1k-typed-nodeps,cli-spinners,example.ts,TS2451,3
SantaCoder,top1k-typed-nodeps,cli-spinners,example.ts,TS2339,2
SantaCoder,top1k-typed-nodeps,cli-spinners,index.ts,TS2451,1
SantaCoder,top1k-typed-nodeps,clone,clone.ts,TS2367,1
SantaCoder,top1k-typed-nodeps,clone,clone.ts,TS2403,2
SantaCoder,top1k-typed-nodeps,clone,clone.ts,TS2365,2
SantaCoder,top1k-typed-nodeps,clone,clone.ts,TS2356,2
SantaCoder,top1k-typed-nodeps,co,index.ts,TS2339,3
SantaCoder,top1k-typed-nodeps,co,index.ts,TS2554,1
SantaCoder,top1k-typed-nodeps,collect-v8-coverage,index.ts,TS2339,10
SantaCoder,top1k-typed-nodeps,color-support,bin.ts,TS2300,1
SantaCoder,top1k-typed-nodeps,color-support,browser.ts,TS2300,1
SantaCoder,top1k-typed-nodeps,color-support,index.ts,TS2300,1
SantaCoder,top1k-typed-nodeps,color-support,index.ts,TS2304,2
SantaCoder,top1k-typed-nodeps,color-support,index.ts,TS4078,2
SantaCoder,top1k-typed-nodeps,colorette,bench/index.ts,TS2307,5
