Dataset,Package,File,"Number of errors"
top1k-typed-nodeps,arr-diff,benchmark/code/while-indexof.ts,0
top1k-typed-nodeps,arr-diff,benchmark/code/while-multi-unshift.ts,0
top1k-typed-nodeps,arr-diff,benchmark/code/while-multi.ts,0
top1k-typed-nodeps,arr-diff,benchmark/code/while-push.ts,0
top1k-typed-nodeps,arr-diff,benchmark/code/while-splice-args.ts,2
top1k-typed-nodeps,arr-diff,benchmark/code/while-splice-for.ts,2
top1k-typed-nodeps,arr-diff,benchmark/code/while-splice-pop-flatten.ts,1
top1k-typed-nodeps,arr-diff,benchmark/code/while-splice-pop.ts,1
top1k-typed-nodeps,arr-diff,benchmark/code/while-splice-recurse.ts,1
top1k-typed-nodeps,arr-diff,benchmark/code/while-splice.ts,0
top1k-typed-nodeps,arr-diff,benchmark/code/while-unshift.ts,0
top1k-typed-nodeps,arr-diff,benchmark/fixtures/long-dupes.ts,0
top1k-typed-nodeps,arr-diff,benchmark/fixtures/long.ts,0
top1k-typed-nodeps,arr-diff,benchmark/fixtures/med-short.ts,0
top1k-typed-nodeps,arr-diff,benchmark/fixtures/med.ts,0
top1k-typed-nodeps,arr-diff,benchmark/fixtures/short.ts,0
top1k-typed-nodeps,arr-diff,benchmark/index.ts,6
top1k-typed-nodeps,arr-diff,index.ts,3
top1k-typed-nodeps,arr-union,benchmark/check.ts,7
top1k-typed-nodeps,arr-union,benchmark/code/2-1-0.ts,1
top1k-typed-nodeps,arr-union,benchmark/code/array-union.ts,0
top1k-typed-nodeps,arr-union,benchmark/code/concat-apply.ts,0
top1k-typed-nodeps,arr-union,benchmark/code/current.ts,0
top1k-typed-nodeps,arr-union,benchmark/code/for-concat.ts,1
top1k-typed-nodeps,arr-union,benchmark/code/for-each.ts,0
top1k-typed-nodeps,arr-union,benchmark/code/for-in.ts,0
top1k-typed-nodeps,arr-union,benchmark/code/for.ts,1
top1k-typed-nodeps,arr-union,benchmark/code/reduce.ts,0
top1k-typed-nodeps,arr-union,benchmark/code/while-concat-push.ts,0
top1k-typed-nodeps,arr-union,benchmark/code/while-concat.ts,0
top1k-typed-nodeps,arr-union,benchmark/code/while-continue-for.ts,0
top1k-typed-nodeps,arr-union,benchmark/code/while-for-unique.ts,0
top1k-typed-nodeps,arr-union,benchmark/code/while-for.ts,0
top1k-typed-nodeps,arr-union,benchmark/code/while-push-apply.ts,0
top1k-typed-nodeps,arr-union,benchmark/code/while-seen.ts,0
top1k-typed-nodeps,arr-union,benchmark/code/while-while-unique.ts,0
top1k-typed-nodeps,arr-union,benchmark/code/while-while.ts,1
top1k-typed-nodeps,arr-union,benchmark/fixtures/five-arrays.ts,0
top1k-typed-nodeps,arr-union,benchmark/fixtures/ten-arrays.ts,0
top1k-typed-nodeps,arr-union,benchmark/fixtures/two-arrays.ts,0
top1k-typed-nodeps,arr-union,benchmark/index.ts,2
top1k-typed-nodeps,arr-union,index.ts,0
top1k-typed-nodeps,array-union,index.ts,0
top1k-typed-nodeps,array-uniq,index.ts,1
top1k-typed-nodeps,array-unique,benchmark/code/filter.ts,0
top1k-typed-nodeps,array-unique,benchmark/code/for-in.ts,1
top1k-typed-nodeps,array-unique,benchmark/code/linear-search-01.ts,0
top1k-typed-nodeps,array-unique,benchmark/code/set-immutable.ts,0
top1k-typed-nodeps,array-unique,benchmark/code/set.ts,0
top1k-typed-nodeps,array-unique,benchmark/code/while-hash.ts,0
top1k-typed-nodeps,array-unique,benchmark/code/while.ts,0
top1k-typed-nodeps,array-unique,benchmark/fixtures/long.ts,0
top1k-typed-nodeps,array-unique,benchmark/fixtures/med.ts,0
top1k-typed-nodeps,array-unique,benchmark/fixtures/short.ts,0
top1k-typed-nodeps,array-unique,benchmark/index.ts,2
top1k-typed-nodeps,array-unique,benchmark/randomize.ts,0
top1k-typed-nodeps,array-unique,index.ts,0
top1k-typed-nodeps,arrify,index.ts,1
top1k-typed-nodeps,assert-plus,assert.ts,28
top1k-typed-nodeps,astral-regex,index.ts,1
top1k-typed-nodeps,atob,bin/atob.ts,1
top1k-typed-nodeps,atob,browser-atob.ts,8
top1k-typed-nodeps,atob,node-atob.ts,2
top1k-typed-nodeps,aws4,aws4.ts,65
top1k-typed-nodeps,aws4,browser/index.ts,4
top1k-typed-nodeps,aws4,example.ts,45
top1k-typed-nodeps,aws4,lru.ts,16
top1k-typed-nodeps,balanced-match,example.ts,2
top1k-typed-nodeps,balanced-match,index.ts,9
top1k-typed-nodeps,base64-js,base64js.min.ts,31
top1k-typed-nodeps,base64-js,bench/basic.ts,8
top1k-typed-nodeps,base64-js,bench/bench.ts,11
top1k-typed-nodeps,base64-js,index.ts,18
top1k-typed-nodeps,boolbase,index.ts,0
top1k-typed-nodeps,brorand,index.ts,16
