"System","Dataset","Package","Number of function signatures compared","Number of correct annotations","Number of inferred anys","Number of annotations checked","Number of ground truth anys skipped"
deeptyper,top1k-typed-nodeps-es6,is-plain-object,1,1,1,1,1
deeptyper,top1k-typed-nodeps-es6,is-promise,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,is-stream,5,0,5,10,0
deeptyper,top1k-typed-nodeps-es6,is-typedarray,1,0,1,1,1
deeptyper,top1k-typed-nodeps-es6,is-unicode-supported,1,1,0,1,0
deeptyper,top1k-typed-nodeps-es6,is-windows,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,isarray,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,isexe,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,isobject,1,1,1,1,1
deeptyper,top1k-typed-nodeps-es6,isstream,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,jest-pnp-resolver,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,jsesc,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,json-buffer,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,json-parse-better-errors,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,json-schema,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,json-schema-traverse,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,json-stringify-safe,1,1,2,4,1
deeptyper,top1k-typed-nodeps-es6,kind-of,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,kleur,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,klona,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,leven,1,1,2,3,0
deeptyper,top1k-typed-nodeps-es6,load-json-file,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,loader-runner,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,loglevel,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,lowercase-keys,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,make-error,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,map-obj,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,media-typer,3,2,4,6,0
deeptyper,top1k-typed-nodeps-es6,merge-descriptors,1,1,0,4,0
deeptyper,top1k-typed-nodeps-es6,merge-stream,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,merge2,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,methods,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,mime,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,mime-db,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,mimic-fn,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,mimic-response,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,min-indent,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,minimalistic-assert,1,1,1,2,1
deeptyper,top1k-typed-nodeps-es6,mkdirp,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,mute-stream,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,nanocolors,1,1,0,2,0
deeptyper,top1k-typed-nodeps-es6,nanoid,0,0,0,0,0
