"System","Dataset","Package","Type checks"
InCoder,top1k-typed-nodeps,natural-compare,0
InCoder,top1k-typed-nodeps,negotiator,0
InCoder,top1k-typed-nodeps,next-tick,0
InCoder,top1k-typed-nodeps,nice-try,1
InCoder,top1k-typed-nodeps,node-int64,0
InCoder,top1k-typed-nodeps,normalize-path,0
InCoder,top1k-typed-nodeps,normalize-url,0
InCoder,top1k-typed-nodeps,number-is-nan,1
InCoder,top1k-typed-nodeps,nwsapi,0
InCoder,top1k-typed-nodeps,object-assign,0
InCoder,top1k-typed-nodeps,object-inspect,0
InCoder,top1k-typed-nodeps,object-keys,0
InCoder,top1k-typed-nodeps,on-headers,0
InCoder,top1k-typed-nodeps,os-homedir,1
InCoder,top1k-typed-nodeps,os-tmpdir,1
InCoder,top1k-typed-nodeps,p-cancelable,0
InCoder,top1k-typed-nodeps,p-each-series,1
InCoder,top1k-typed-nodeps,p-timeout,0
InCoder,top1k-typed-nodeps,p-try,0
InCoder,top1k-typed-nodeps,parseurl,0
InCoder,top1k-typed-nodeps,pascalcase,0
InCoder,top1k-typed-nodeps,path-browserify,0
InCoder,top1k-typed-nodeps,path-exists,0
InCoder,top1k-typed-nodeps,path-is-absolute,0
InCoder,top1k-typed-nodeps,path-is-inside,1
InCoder,top1k-typed-nodeps,path-key,0
InCoder,top1k-typed-nodeps,path-parse,0
InCoder,top1k-typed-nodeps,path-type,0
InCoder,top1k-typed-nodeps,picomatch,0
InCoder,top1k-typed-nodeps,pify,1
InCoder,top1k-typed-nodeps,postcss-modules-extract-imports,0
InCoder,top1k-typed-nodeps,postcss-value-parser,0
InCoder,top1k-typed-nodeps,prelude-ls,0
InCoder,top1k-typed-nodeps,prepend-http,0
InCoder,top1k-typed-nodeps,progress,0
InCoder,top1k-typed-nodeps,promise-inflight,0
InCoder,top1k-typed-nodeps,punycode,0
InCoder,top1k-typed-nodeps,querystring,0
InCoder,top1k-typed-nodeps,querystringify,0
InCoder,top1k-typed-nodeps,queue-microtask,1
InCoder,top1k-typed-nodeps,quick-lru,0
InCoder,top1k-typed-nodeps,range-parser,0
InCoder,top1k-typed-nodeps,regenerate,0
InCoder,top1k-typed-nodeps,regexp-tree,0
InCoder,top1k-typed-nodeps,repeat-element,0
InCoder,top1k-typed-nodeps,repeat-string,0
InCoder,top1k-typed-nodeps,require-directory,0
InCoder,top1k-typed-nodeps,require-from-string,1
InCoder,top1k-typed-nodeps,requires-port,1
InCoder,top1k-typed-nodeps,resolve-from,0
InCoder,top1k-typed-nodeps,retry,0
InCoder,top1k-typed-nodeps,rsvp,0
InCoder,top1k-typed-nodeps,safer-buffer,0
InCoder,top1k-typed-nodeps,sax,0
InCoder,top1k-typed-nodeps,setimmediate,0
InCoder,top1k-typed-nodeps,setprototypeof,0
InCoder,top1k-typed-nodeps,shebang-regex,1
InCoder,top1k-typed-nodeps,signal-exit,0
InCoder,top1k-typed-nodeps,sisteransi,0
InCoder,top1k-typed-nodeps,slash,0
InCoder,top1k-typed-nodeps,source-list-map,0
InCoder,top1k-typed-nodeps,split-on-first,1
InCoder,top1k-typed-nodeps,split-string,0
InCoder,top1k-typed-nodeps,sprintf-js,0
InCoder,top1k-typed-nodeps,stable,0
InCoder,top1k-typed-nodeps,statuses,0
InCoder,top1k-typed-nodeps,stream-shift,0
InCoder,top1k-typed-nodeps,strict-uri-encode,1
InCoder,top1k-typed-nodeps,strip-bom,0
InCoder,top1k-typed-nodeps,strip-final-newline,0
InCoder,top1k-typed-nodeps,strip-json-comments,0
InCoder,top1k-typed-nodeps,symbol-observable,1
InCoder,top1k-typed-nodeps,symbol-tree,0
InCoder,top1k-typed-nodeps,tapable,0
InCoder,top1k-typed-nodeps,throat,0
InCoder,top1k-typed-nodeps,through,0
InCoder,top1k-typed-nodeps,tmpl,0
InCoder,top1k-typed-nodeps,to-fast-properties,0
InCoder,top1k-typed-nodeps,trim-newlines,1
InCoder,top1k-typed-nodeps,tslib,0
InCoder,top1k-typed-nodeps,tweetnacl,0
InCoder,top1k-typed-nodeps,type,0
InCoder,top1k-typed-nodeps,typedarray-to-buffer,1
InCoder,top1k-typed-nodeps,universalify,1
InCoder,top1k-typed-nodeps,urix,0
InCoder,top1k-typed-nodeps,util-deprecate,0
InCoder,top1k-typed-nodeps,utils-merge,1
InCoder,top1k-typed-nodeps,uuid,0
InCoder,top1k-typed-nodeps,vary,0
InCoder,top1k-typed-nodeps,webidl-conversions,0
InCoder,top1k-typed-nodeps,webpack-sources,0
InCoder,top1k-typed-nodeps,whatwg-mimetype,0
InCoder,top1k-typed-nodeps,word-wrap,0
InCoder,top1k-typed-nodeps,ws,0
InCoder,top1k-typed-nodeps,xml-name-validator,1
InCoder,top1k-typed-nodeps,xtend,0
InCoder,top1k-typed-nodeps,yallist,0
InCoder,top1k-typed-nodeps,yn,0
InCoder,top1k-typed-nodeps,yocto-queue,1
InCoder,top1k-typed-nodeps-es6,@xtuc_long,0
InCoder,top1k-typed-nodeps-es6,abab,0
InCoder,top1k-typed-nodeps-es6,abbrev,0
InCoder,top1k-typed-nodeps-es6,acorn-jsx,0
InCoder,top1k-typed-nodeps-es6,ansi-colors,0
InCoder,top1k-typed-nodeps-es6,ansi-regex,0
InCoder,top1k-typed-nodeps-es6,ansi-styles,0
InCoder,top1k-typed-nodeps-es6,arg,0
InCoder,top1k-typed-nodeps-es6,argparse,0
InCoder,top1k-typed-nodeps-es6,arr-diff,0
InCoder,top1k-typed-nodeps-es6,arr-union,0
InCoder,top1k-typed-nodeps-es6,array-union,1
InCoder,top1k-typed-nodeps-es6,array-uniq,1
InCoder,top1k-typed-nodeps-es6,array-unique,0
InCoder,top1k-typed-nodeps-es6,arrify,1
InCoder,top1k-typed-nodeps-es6,assert-plus,0
InCoder,top1k-typed-nodeps-es6,astral-regex,1
InCoder,top1k-typed-nodeps-es6,async,0
InCoder,top1k-typed-nodeps-es6,aws4,0
InCoder,top1k-typed-nodeps-es6,balanced-match,0
InCoder,top1k-typed-nodeps-es6,base64-js,0
InCoder,top1k-typed-nodeps-es6,binary-extensions,1
InCoder,top1k-typed-nodeps-es6,bn.js,0
InCoder,top1k-typed-nodeps-es6,boolbase,1
InCoder,top1k-typed-nodeps-es6,brorand,0
InCoder,top1k-typed-nodeps-es6,browser-process-hrtime,0
InCoder,top1k-typed-nodeps-es6,buffer-crc32,0
InCoder,top1k-typed-nodeps-es6,buffer-from,0
InCoder,top1k-typed-nodeps-es6,bytes,0
InCoder,top1k-typed-nodeps-es6,callsites,1
InCoder,top1k-typed-nodeps-es6,camelcase,0
InCoder,top1k-typed-nodeps-es6,caseless,0
InCoder,top1k-typed-nodeps-es6,char-regex,1
InCoder,top1k-typed-nodeps-es6,chownr,0
InCoder,top1k-typed-nodeps-es6,ci-info,0
InCoder,top1k-typed-nodeps-es6,cjs-module-lexer,0
InCoder,top1k-typed-nodeps-es6,cli-spinners,0
InCoder,top1k-typed-nodeps-es6,co,0
InCoder,top1k-typed-nodeps-es6,collect-v8-coverage,0
InCoder,top1k-typed-nodeps-es6,color-name,1
InCoder,top1k-typed-nodeps-es6,color-support,0
InCoder,top1k-typed-nodeps-es6,colorette,0
InCoder,top1k-typed-nodeps-es6,colors,0
InCoder,top1k-typed-nodeps-es6,content-type,0
InCoder,top1k-typed-nodeps-es6,cookie-signature,0
InCoder,top1k-typed-nodeps-es6,cookie,0
InCoder,top1k-typed-nodeps-es6,create-require,0
InCoder,top1k-typed-nodeps-es6,cssesc,0
InCoder,top1k-typed-nodeps-es6,decamelize,1
InCoder,top1k-typed-nodeps-es6,decode-uri-component,0
InCoder,top1k-typed-nodeps-es6,deep-extend,0
InCoder,top1k-typed-nodeps-es6,deepmerge,0
InCoder,top1k-typed-nodeps-es6,define-lazy-prop,1
InCoder,top1k-typed-nodeps-es6,delegates,0
InCoder,top1k-typed-nodeps-es6,depd,0
InCoder,top1k-typed-nodeps-es6,detect-newline,0
InCoder,top1k-typed-nodeps-es6,detect-node,1
InCoder,top1k-typed-nodeps-es6,diff,0
InCoder,top1k-typed-nodeps-es6,dotenv,0
InCoder,top1k-typed-nodeps-es6,duplexer3,0
InCoder,top1k-typed-nodeps-es6,ee-first,1
InCoder,top1k-typed-nodeps-es6,emittery,0
InCoder,top1k-typed-nodeps-es6,emoji-regex,1
InCoder,top1k-typed-nodeps-es6,encodeurl,1
InCoder,top1k-typed-nodeps-es6,escape-html,0
InCoder,top1k-typed-nodeps-es6,escape-string-regexp,1
InCoder,top1k-typed-nodeps-es6,eslint-visitor-keys,0
InCoder,top1k-typed-nodeps-es6,estraverse,0
InCoder,top1k-typed-nodeps-es6,events,0
InCoder,top1k-typed-nodeps-es6,exec-sh,0
InCoder,top1k-typed-nodeps-es6,exit,0
InCoder,top1k-typed-nodeps-es6,extend,0
InCoder,top1k-typed-nodeps-es6,extsprintf,0
InCoder,top1k-typed-nodeps-es6,filesize,0
InCoder,top1k-typed-nodeps-es6,filter-obj,0
InCoder,top1k-typed-nodeps-es6,flatted,0
InCoder,top1k-typed-nodeps-es6,follow-redirects,0
InCoder,top1k-typed-nodeps-es6,forever-agent,0
InCoder,top1k-typed-nodeps-es6,forwarded,0
InCoder,top1k-typed-nodeps-es6,fraction.js,0
InCoder,top1k-typed-nodeps-es6,fresh,0
InCoder,top1k-typed-nodeps-es6,fsevents,0
InCoder,top1k-typed-nodeps-es6,function-bind,0
InCoder,top1k-typed-nodeps-es6,functional-red-black-tree,0
InCoder,top1k-typed-nodeps-es6,gensync,0
InCoder,top1k-typed-nodeps-es6,get-stdin,1
InCoder,top1k-typed-nodeps-es6,get-stream,0
InCoder,top1k-typed-nodeps-es6,glob-to-regexp,0
InCoder,top1k-typed-nodeps-es6,has-flag,0
InCoder,top1k-typed-nodeps-es6,has-symbols,0
InCoder,top1k-typed-nodeps-es6,html-escaper,0
InCoder,top1k-typed-nodeps-es6,http-cache-semantics,0
InCoder,top1k-typed-nodeps-es6,human-signals,0
InCoder,top1k-typed-nodeps-es6,icss-utils,0
InCoder,top1k-typed-nodeps-es6,ieee754,1
InCoder,top1k-typed-nodeps-es6,iferr,1
InCoder,top1k-typed-nodeps-es6,ignore,0
InCoder,top1k-typed-nodeps-es6,import-from,1
InCoder,top1k-typed-nodeps-es6,import-lazy,0
InCoder,top1k-typed-nodeps-es6,indent-string,0
InCoder,top1k-typed-nodeps-es6,ini,0
InCoder,top1k-typed-nodeps-es6,interpret,0
InCoder,top1k-typed-nodeps-es6,invert-kv,1
InCoder,top1k-typed-nodeps-es6,ip-regex,1
InCoder,top1k-typed-nodeps-es6,ip,0
InCoder,top1k-typed-nodeps-es6,is-absolute-url,0
InCoder,top1k-typed-nodeps-es6,is-buffer,0
InCoder,top1k-typed-nodeps-es6,is-callable,0
InCoder,top1k-typed-nodeps-es6,is-directory,0
InCoder,top1k-typed-nodeps-es6,is-docker,1
InCoder,top1k-typed-nodeps-es6,is-fullwidth-code-point,1
InCoder,top1k-typed-nodeps-es6,is-generator-fn,1
InCoder,top1k-typed-nodeps-es6,is-interactive,0
InCoder,top1k-typed-nodeps-es6,is-number,0
InCoder,top1k-typed-nodeps-es6,is-obj,1
InCoder,top1k-typed-nodeps-es6,is-path-cwd,0
InCoder,top1k-typed-nodeps-es6,is-path-inside,0
InCoder,top1k-typed-nodeps-es6,is-plain-obj,0
InCoder,top1k-typed-nodeps-es6,is-plain-object,1
InCoder,top1k-typed-nodeps-es6,is-stream,0
InCoder,top1k-typed-nodeps-es6,is-typedarray,1
InCoder,top1k-typed-nodeps-es6,is-unicode-supported,1
InCoder,top1k-typed-nodeps-es6,isarray,1
InCoder,top1k-typed-nodeps-es6,isexe,0
InCoder,top1k-typed-nodeps-es6,isobject,1
InCoder,top1k-typed-nodeps-es6,isstream,1
InCoder,top1k-typed-nodeps-es6,jest-pnp-resolver,0
InCoder,top1k-typed-nodeps-es6,jsesc,0
InCoder,top1k-typed-nodeps-es6,json-buffer,1
InCoder,top1k-typed-nodeps-es6,json-parse-better-errors,1
InCoder,top1k-typed-nodeps-es6,json-schema-traverse,0
InCoder,top1k-typed-nodeps-es6,json-stringify-safe,0
InCoder,top1k-typed-nodeps-es6,kleur,0
InCoder,top1k-typed-nodeps-es6,klona,0
InCoder,top1k-typed-nodeps-es6,leven,0
InCoder,top1k-typed-nodeps-es6,load-json-file,0
InCoder,top1k-typed-nodeps-es6,loader-runner,0
InCoder,top1k-typed-nodeps-es6,lodash,0
InCoder,top1k-typed-nodeps-es6,lowercase-keys,1
InCoder,top1k-typed-nodeps-es6,make-error,0
InCoder,top1k-typed-nodeps-es6,map-obj,0
InCoder,top1k-typed-nodeps-es6,media-typer,0
InCoder,top1k-typed-nodeps-es6,merge-descriptors,1
InCoder,top1k-typed-nodeps-es6,merge-stream,0
InCoder,top1k-typed-nodeps-es6,merge2,0
InCoder,top1k-typed-nodeps-es6,mime-db,0
InCoder,top1k-typed-nodeps-es6,mime,0
InCoder,top1k-typed-nodeps-es6,mimic-fn,0
InCoder,top1k-typed-nodeps-es6,mimic-response,0
InCoder,top1k-typed-nodeps-es6,min-indent,1
InCoder,top1k-typed-nodeps-es6,minimalistic-assert,0
InCoder,top1k-typed-nodeps-es6,mkdirp,0
InCoder,top1k-typed-nodeps-es6,mute-stream,0
InCoder,top1k-typed-nodeps-es6,nanocolors,0
InCoder,top1k-typed-nodeps-es6,nanoid,0
InCoder,top1k-typed-nodeps-es6,negotiator,0
InCoder,top1k-typed-nodeps-es6,nice-try,1
InCoder,top1k-typed-nodeps-es6,node-int64,0
InCoder,top1k-typed-nodeps-es6,normalize-path,0
InCoder,top1k-typed-nodeps-es6,normalize-url,0
InCoder,top1k-typed-nodeps-es6,number-is-nan,1
InCoder,top1k-typed-nodeps-es6,object-assign,0
InCoder,top1k-typed-nodeps-es6,object-inspect,0
InCoder,top1k-typed-nodeps-es6,object-keys,0
InCoder,top1k-typed-nodeps-es6,on-headers,0
InCoder,top1k-typed-nodeps-es6,os-homedir,1
InCoder,top1k-typed-nodeps-es6,os-tmpdir,1
InCoder,top1k-typed-nodeps-es6,p-cancelable,0
InCoder,top1k-typed-nodeps-es6,p-each-series,1
InCoder,top1k-typed-nodeps-es6,p-timeout,0
InCoder,top1k-typed-nodeps-es6,p-try,0
InCoder,top1k-typed-nodeps-es6,pascalcase,0
InCoder,top1k-typed-nodeps-es6,path-browserify,0
InCoder,top1k-typed-nodeps-es6,path-exists,0
InCoder,top1k-typed-nodeps-es6,path-is-absolute,0
InCoder,top1k-typed-nodeps-es6,path-is-inside,1
InCoder,top1k-typed-nodeps-es6,path-key,0
InCoder,top1k-typed-nodeps-es6,path-parse,0
InCoder,top1k-typed-nodeps-es6,path-type,0
InCoder,top1k-typed-nodeps-es6,picomatch,0
InCoder,top1k-typed-nodeps-es6,pify,1
InCoder,top1k-typed-nodeps-es6,postcss-modules-extract-imports,0
InCoder,top1k-typed-nodeps-es6,postcss-value-parser,0
InCoder,top1k-typed-nodeps-es6,prepend-http,0
InCoder,top1k-typed-nodeps-es6,progress,0
InCoder,top1k-typed-nodeps-es6,promise-inflight,0
InCoder,top1k-typed-nodeps-es6,punycode,0
InCoder,top1k-typed-nodeps-es6,querystring,0
InCoder,top1k-typed-nodeps-es6,querystringify,0
InCoder,top1k-typed-nodeps-es6,queue-microtask,1
InCoder,top1k-typed-nodeps-es6,quick-lru,0
InCoder,top1k-typed-nodeps-es6,range-parser,0
InCoder,top1k-typed-nodeps-es6,regenerate,0
InCoder,top1k-typed-nodeps-es6,regexp-tree,0
InCoder,top1k-typed-nodeps-es6,repeat-element,0
InCoder,top1k-typed-nodeps-es6,repeat-string,0
InCoder,top1k-typed-nodeps-es6,require-directory,0
InCoder,top1k-typed-nodeps-es6,require-from-string,0
InCoder,top1k-typed-nodeps-es6,requires-port,1
InCoder,top1k-typed-nodeps-es6,resolve-from,0
InCoder,top1k-typed-nodeps-es6,retry,0
InCoder,top1k-typed-nodeps-es6,rsvp,0
InCoder,top1k-typed-nodeps-es6,safer-buffer,0
InCoder,top1k-typed-nodeps-es6,sax,0
InCoder,top1k-typed-nodeps-es6,setimmediate,0
InCoder,top1k-typed-nodeps-es6,setprototypeof,0
InCoder,top1k-typed-nodeps-es6,shebang-regex,1
InCoder,top1k-typed-nodeps-es6,signal-exit,0
InCoder,top1k-typed-nodeps-es6,sisteransi,0
InCoder,top1k-typed-nodeps-es6,slash,0
InCoder,top1k-typed-nodeps-es6,source-list-map,0
InCoder,top1k-typed-nodeps-es6,split-on-first,1
InCoder,top1k-typed-nodeps-es6,split-string,0
InCoder,top1k-typed-nodeps-es6,sprintf-js,0
InCoder,top1k-typed-nodeps-es6,stable,0
InCoder,top1k-typed-nodeps-es6,stream-shift,0
InCoder,top1k-typed-nodeps-es6,strict-uri-encode,1
InCoder,top1k-typed-nodeps-es6,strip-bom,0
InCoder,top1k-typed-nodeps-es6,strip-final-newline,0
InCoder,top1k-typed-nodeps-es6,strip-json-comments,0
InCoder,top1k-typed-nodeps-es6,symbol-observable,1
InCoder,top1k-typed-nodeps-es6,symbol-tree,0
InCoder,top1k-typed-nodeps-es6,tapable,0
InCoder,top1k-typed-nodeps-es6,through,0
InCoder,top1k-typed-nodeps-es6,tmpl,0
