Dataset,Package,File,"Error code",Count
top1k-typed-nodeps,cacheable-lookup,source/index.ts,TS2314,1
top1k-typed-nodeps,cacheable-lookup,source/index.ts,TS2451,1
top1k-typed-nodeps,cacheable-lookup,source/index.ts,TS2551,18
top1k-typed-nodeps,cacheable-lookup,source/index.ts,TS2554,1
top1k-typed-nodeps,cacheable-lookup,source/index.ts,TS2740,1
top1k-typed-nodeps,cacheable-lookup,source/index.ts,TS2698,1
top1k-typed-nodeps,cacheable-lookup,source/index.ts,TS2550,1
top1k-typed-nodeps,cacheable-lookup,source/index.ts,TS2538,3
top1k-typed-nodeps,callsites,index.ts,TS2322,3
top1k-typed-nodeps,camelcase,index.ts,TS2740,1
top1k-typed-nodeps,camelcase,index.ts,TS2769,5
top1k-typed-nodeps,camelcase,index.ts,TS2339,9
top1k-typed-nodeps,ci-info,index.ts,TS2339,22
top1k-typed-nodeps,ci-info,index.ts,TS2345,1
top1k-typed-nodeps,cjs-module-lexer,build.ts,TS2339,8
top1k-typed-nodeps,cjs-module-lexer,build.ts,TS2554,1
top1k-typed-nodeps,cjs-module-lexer,lexer.ts,TS2314,3
top1k-typed-nodeps,cjs-module-lexer,lexer.ts,TS2304,35
top1k-typed-nodeps,cjs-module-lexer,lexer.ts,TS4060,12
top1k-typed-nodeps,cjs-module-lexer,lexer.ts,TS2740,3
top1k-typed-nodeps,cjs-module-lexer,lexer.ts,TS2739,1
top1k-typed-nodeps,cjs-module-lexer,lexer.ts,TS2345,25
top1k-typed-nodeps,cjs-module-lexer,lexer.ts,TS2488,2
top1k-typed-nodeps,cjs-module-lexer,lexer.ts,TS2322,10
top1k-typed-nodeps,cjs-module-lexer,lexer.ts,TS2367,147
top1k-typed-nodeps,cjs-module-lexer,lexer.ts,TS2339,12
top1k-typed-nodeps,cjs-module-lexer,lexer.ts,TS2678,11
top1k-typed-nodeps,cjs-module-lexer,lexer.ts,TS2365,1
top1k-typed-nodeps,cjs-module-lexer,src/lexer.ts,TS2339,25
top1k-typed-nodeps,cjs-module-lexer,src/lexer.ts,TS2345,5
top1k-typed-nodeps,cjs-module-lexer,src/lexer.ts,TS2322,9
top1k-typed-nodeps,cjs-module-lexer,src/lexer.ts,TS2488,2
top1k-typed-nodeps,cjs-module-lexer,src/lexer.ts,TS2304,2
top1k-typed-nodeps,cjs-module-lexer,src/lexer.ts,TS2740,2
top1k-typed-nodeps,clone,clone.ts,TS2322,12
