"System","Dataset","Package","File","Number of anys","Number of any[]","Number of Function","Total annotations"
DeepTyper,top1k-typed-nodeps-es6,typedarray-to-buffer,index.ts,2,0,0,2
DeepTyper,top1k-typed-nodeps-es6,universalify,index.ts,6,0,0,10
DeepTyper,top1k-typed-nodeps-es6,urix,index.ts,0,0,0,2
DeepTyper,top1k-typed-nodeps-es6,util-deprecate,browser.ts,3,0,0,8
DeepTyper,top1k-typed-nodeps-es6,util-deprecate,node.ts,0,0,0,0
DeepTyper,top1k-typed-nodeps-es6,utils-merge,index.ts,2,0,0,2
DeepTyper,top1k-typed-nodeps-es6,uuid,examples/benchmark/benchmark.ts,6,1,0,11
DeepTyper,top1k-typed-nodeps-es6,uuid,examples/benchmark/browser.ts,0,0,0,0
DeepTyper,top1k-typed-nodeps-es6,uuid,examples/benchmark/node.ts,0,0,0,0
DeepTyper,top1k-typed-nodeps-es6,uuid,examples/browser-esmodules/example.ts,0,0,0,1
DeepTyper,top1k-typed-nodeps-es6,uuid,examples/browser-rollup/example-all.ts,2,0,0,3
DeepTyper,top1k-typed-nodeps-es6,uuid,examples/browser-rollup/example-v1.ts,2,0,0,2
DeepTyper,top1k-typed-nodeps-es6,uuid,examples/browser-rollup/example-v4.ts,2,0,0,2
DeepTyper,top1k-typed-nodeps-es6,uuid,examples/browser-rollup/rollup.config.ts,0,1,0,1
DeepTyper,top1k-typed-nodeps-es6,uuid,examples/browser-rollup/size-v1.ts,0,0,0,0
DeepTyper,top1k-typed-nodeps-es6,uuid,examples/browser-rollup/size-v3.ts,0,0,0,0
DeepTyper,top1k-typed-nodeps-es6,uuid,examples/browser-rollup/size-v4.ts,0,0,0,0
DeepTyper,top1k-typed-nodeps-es6,uuid,examples/browser-rollup/size-v5.ts,0,0,0,0
DeepTyper,top1k-typed-nodeps-es6,uuid,examples/browser-webpack/example-all-require.ts,2,0,0,3
DeepTyper,top1k-typed-nodeps-es6,uuid,examples/browser-webpack/example-all.ts,2,0,0,3
DeepTyper,top1k-typed-nodeps-es6,uuid,examples/browser-webpack/example-v1.ts,2,0,0,2
DeepTyper,top1k-typed-nodeps-es6,uuid,examples/browser-webpack/example-v4.ts,2,0,0,2
DeepTyper,top1k-typed-nodeps-es6,uuid,examples/browser-webpack/size-v1.ts,0,0,0,0
DeepTyper,top1k-typed-nodeps-es6,uuid,examples/browser-webpack/size-v3.ts,0,0,0,0
DeepTyper,top1k-typed-nodeps-es6,uuid,examples/browser-webpack/size-v4.ts,0,0,0,0
DeepTyper,top1k-typed-nodeps-es6,uuid,examples/browser-webpack/size-v5.ts,0,0,0,0
DeepTyper,top1k-typed-nodeps-es6,uuid,examples/browser-webpack/webpack.config.ts,0,0,0,0
DeepTyper,top1k-typed-nodeps-es6,uuid,examples/node-commonjs/example.ts,0,0,0,1
DeepTyper,top1k-typed-nodeps-es6,uuid,examples/node-webpack/example-all.ts,0,0,0,1
DeepTyper,top1k-typed-nodeps-es6,uuid,examples/node-webpack/example-v1.ts,0,0,0,0
DeepTyper,top1k-typed-nodeps-es6,uuid,examples/node-webpack/example-v4.ts,0,0,0,0
DeepTyper,top1k-typed-nodeps-es6,uuid,examples/node-webpack/webpack.config.ts,0,0,0,0
DeepTyper,top1k-typed-nodeps-es6,uuid,examples/utils/testpage.ts,1,0,1,9
DeepTyper,top1k-typed-nodeps-es6,uuid,prettier.config.ts,0,0,0,0
DeepTyper,top1k-typed-nodeps-es6,uuid,src/index.ts,0,0,0,0
DeepTyper,top1k-typed-nodeps-es6,uuid,src/md5-browser.ts,4,1,0,74
DeepTyper,top1k-typed-nodeps-es6,uuid,src/md5.ts,2,0,0,2
DeepTyper,top1k-typed-nodeps-es6,uuid,src/native-browser.ts,0,0,0,1
DeepTyper,top1k-typed-nodeps-es6,uuid,src/native.ts,0,0,0,0
DeepTyper,top1k-typed-nodeps-es6,uuid,src/nil.ts,0,0,0,0
DeepTyper,top1k-typed-nodeps-es6,uuid,src/parse.ts,1,0,0,4
DeepTyper,top1k-typed-nodeps-es6,uuid,src/regex.ts,0,0,0,0
DeepTyper,top1k-typed-nodeps-es6,uuid,src/rng-browser.ts,3,0,0,3
DeepTyper,top1k-typed-nodeps-es6,uuid,src/rng.ts,1,0,0,3
DeepTyper,top1k-typed-nodeps-es6,uuid,src/sha1-browser.ts,1,1,0,25
DeepTyper,top1k-typed-nodeps-es6,uuid,src/sha1.ts,2,0,0,2
DeepTyper,top1k-typed-nodeps-es6,uuid,src/stringify.ts,1,1,0,2
DeepTyper,top1k-typed-nodeps-es6,uuid,src/uuid-bin.ts,3,0,0,5
DeepTyper,top1k-typed-nodeps-es6,uuid,src/v1.ts,4,0,0,18
DeepTyper,top1k-typed-nodeps-es6,uuid,src/v3.ts,1,0,0,1
DeepTyper,top1k-typed-nodeps-es6,uuid,src/v35.ts,4,1,0,14
DeepTyper,top1k-typed-nodeps-es6,uuid,src/v4.ts,3,0,0,5
DeepTyper,top1k-typed-nodeps-es6,uuid,src/v5.ts,1,0,0,1
DeepTyper,top1k-typed-nodeps-es6,uuid,src/validate.ts,0,0,0,2
DeepTyper,top1k-typed-nodeps-es6,uuid,src/version.ts,0,0,0,2
DeepTyper,top1k-typed-nodeps-es6,uuid,wdio.conf.ts,7,0,0,8
DeepTyper,top1k-typed-nodeps-es6,vary,benchmark/append.ts,3,0,0,6
DeepTyper,top1k-typed-nodeps-es6,vary,benchmark/index.ts,5,0,0,7
DeepTyper,top1k-typed-nodeps-es6,vary,index.ts,10,2,0,18
DeepTyper,top1k-typed-nodeps-es6,webidl-conversions,lib/index.ts,12,0,0,57
DeepTyper,top1k-typed-nodeps-es6,webpack-sources,.eslintrc.ts,0,0,0,0
DeepTyper,top1k-typed-nodeps-es6,webpack-sources,.prettierrc.ts,0,0,0,0
DeepTyper,top1k-typed-nodeps-es6,webpack-sources,lib/CachedSource.ts,25,1,0,27
DeepTyper,top1k-typed-nodeps-es6,webpack-sources,lib/CompatSource.ts,0,0,0,0
DeepTyper,top1k-typed-nodeps-es6,webpack-sources,lib/ConcatSource.ts,22,4,0,43
DeepTyper,top1k-typed-nodeps-es6,webpack-sources,lib/OriginalSource.ts,7,0,0,11
DeepTyper,top1k-typed-nodeps-es6,webpack-sources,lib/PrefixSource.ts,3,0,0,13
DeepTyper,top1k-typed-nodeps-es6,webpack-sources,lib/RawSource.ts,1,0,0,1
DeepTyper,top1k-typed-nodeps-es6,webpack-sources,lib/ReplaceSource.ts,26,5,0,70
DeepTyper,top1k-typed-nodeps-es6,webpack-sources,lib/SizeOnlySource.ts,0,0,0,0
DeepTyper,top1k-typed-nodeps-es6,webpack-sources,lib/Source.ts,1,0,0,1
DeepTyper,top1k-typed-nodeps-es6,webpack-sources,lib/SourceMapSource.ts,4,0,0,6
DeepTyper,top1k-typed-nodeps-es6,webpack-sources,lib/helpers/__mocks__/createMappingsSerializer.ts,5,0,0,11
DeepTyper,top1k-typed-nodeps-es6,webpack-sources,lib/helpers/createMappingsSerializer.ts,5,0,0,46
DeepTyper,top1k-typed-nodeps-es6,webpack-sources,lib/helpers/getFromStreamChunks.ts,21,6,0,41
DeepTyper,top1k-typed-nodeps-es6,webpack-sources,lib/helpers/getGeneratedSourceInfo.ts,0,0,0,5
DeepTyper,top1k-typed-nodeps-es6,webpack-sources,lib/helpers/getName.ts,1,0,0,3
DeepTyper,top1k-typed-nodeps-es6,webpack-sources,lib/helpers/getSource.ts,1,0,0,4
DeepTyper,top1k-typed-nodeps-es6,webpack-sources,lib/helpers/readMappings.ts,5,0,0,20
DeepTyper,top1k-typed-nodeps-es6,webpack-sources,lib/helpers/splitIntoLines.ts,2,1,0,7
DeepTyper,top1k-typed-nodeps-es6,webpack-sources,lib/helpers/splitIntoPotentialTokens.ts,1,1,0,7
DeepTyper,top1k-typed-nodeps-es6,webpack-sources,lib/helpers/streamAndGetSourceAndMap.ts,16,3,0,26
DeepTyper,top1k-typed-nodeps-es6,webpack-sources,lib/helpers/streamChunks.ts,6,0,0,6
DeepTyper,top1k-typed-nodeps-es6,webpack-sources,lib/helpers/streamChunksOfCombinedSourceMap.ts,42,10,0,85
DeepTyper,top1k-typed-nodeps-es6,webpack-sources,lib/helpers/streamChunksOfRawSource.ts,4,0,0,13
DeepTyper,top1k-typed-nodeps-es6,webpack-sources,lib/helpers/streamChunksOfSourceMap.ts,30,0,0,88
DeepTyper,top1k-typed-nodeps-es6,webpack-sources,lib/index.ts,1,0,1,4
DeepTyper,top1k-typed-nodeps-es6,word-wrap,index.ts,3,0,0,13
DeepTyper,top1k-typed-nodeps-es6,xml-name-validator,lib/xml-name-validator.ts,0,0,0,4
DeepTyper,top1k-typed-nodeps-es6,xml-name-validator,scripts/benchmark.ts,2,0,0,2
DeepTyper,top1k-typed-nodeps-es6,xtend,immutable.ts,3,0,0,4
DeepTyper,top1k-typed-nodeps-es6,xtend,mutable.ts,4,0,0,4
DeepTyper,top1k-typed-nodeps-es6,yallist,.github/workflows/package-json-repo.ts,7,0,0,9
DeepTyper,top1k-typed-nodeps-es6,yallist,iterator.ts,1,0,0,1
DeepTyper,top1k-typed-nodeps-es6,yallist,yallist.ts,44,2,0,59
DeepTyper,top1k-typed-nodeps-es6,yn,index.ts,0,0,0,0
DeepTyper,top1k-typed-nodeps-es6,yn,lenient.ts,8,0,0,16
DeepTyper,top1k-typed-nodeps-es6,yocto-queue,index.ts,2,0,0,3
DeepTyper,top1k-typed-with-typed-deps,@sinonjs_commons,lib/called-in-order.ts,8,0,0,14
DeepTyper,top1k-typed-with-typed-deps,@sinonjs_commons,lib/class-name.ts,2,0,0,3
DeepTyper,top1k-typed-with-typed-deps,@sinonjs_commons,lib/deprecated.ts,0,0,1,6
DeepTyper,top1k-typed-with-typed-deps,@sinonjs_commons,lib/every.ts,3,0,0,4
DeepTyper,top1k-typed-with-typed-deps,@sinonjs_commons,lib/function-name.ts,1,0,0,2
DeepTyper,top1k-typed-with-typed-deps,@sinonjs_commons,lib/global.ts,1,0,0,1
DeepTyper,top1k-typed-with-typed-deps,@sinonjs_commons,lib/index.ts,0,0,0,0
DeepTyper,top1k-typed-with-typed-deps,@sinonjs_commons,lib/order-by-first-call.ts,8,0,0,11
DeepTyper,top1k-typed-with-typed-deps,@sinonjs_commons,lib/prototypes/array.ts,1,0,0,1
DeepTyper,top1k-typed-with-typed-deps,@sinonjs_commons,lib/prototypes/copy-prototype.ts,3,0,0,5
DeepTyper,top1k-typed-with-typed-deps,@sinonjs_commons,lib/prototypes/function.ts,1,0,0,1
DeepTyper,top1k-typed-with-typed-deps,@sinonjs_commons,lib/prototypes/index.ts,0,0,0,0
DeepTyper,top1k-typed-with-typed-deps,@sinonjs_commons,lib/prototypes/map.ts,1,0,0,1
DeepTyper,top1k-typed-with-typed-deps,@sinonjs_commons,lib/prototypes/object.ts,1,0,0,1
DeepTyper,top1k-typed-with-typed-deps,@sinonjs_commons,lib/prototypes/set.ts,1,0,0,1
DeepTyper,top1k-typed-with-typed-deps,@sinonjs_commons,lib/prototypes/string.ts,1,0,0,1
DeepTyper,top1k-typed-with-typed-deps,@sinonjs_commons,lib/type-of.ts,0,0,0,2
DeepTyper,top1k-typed-with-typed-deps,@sinonjs_commons,lib/value-to-string.ts,0,0,0,2
DeepTyper,top1k-typed-with-typed-deps,accepts,index.ts,15,0,0,17
DeepTyper,top1k-typed-with-typed-deps,anymatch,examples.ts,6,0,0,9
DeepTyper,top1k-typed-with-typed-deps,anymatch,index.ts,25,0,0,33
DeepTyper,top1k-typed-with-typed-deps,are-we-there-yet,.commitlintrc.ts,0,0,0,0
DeepTyper,top1k-typed-with-typed-deps,are-we-there-yet,.eslintrc.ts,1,0,0,3
DeepTyper,top1k-typed-with-typed-deps,are-we-there-yet,lib/index.ts,0,0,0,0
DeepTyper,top1k-typed-with-typed-deps,are-we-there-yet,lib/tracker-base.ts,4,0,0,5
DeepTyper,top1k-typed-with-typed-deps,are-we-there-yet,lib/tracker-group.ts,21,1,0,32
DeepTyper,top1k-typed-with-typed-deps,are-we-there-yet,lib/tracker-stream.ts,14,0,0,17
DeepTyper,top1k-typed-with-typed-deps,are-we-there-yet,lib/tracker.ts,5,0,0,7
DeepTyper,top1k-typed-with-typed-deps,asn1,lib/ber/errors.ts,0,0,0,2
DeepTyper,top1k-typed-with-typed-deps,asn1,lib/ber/index.ts,4,0,0,4
DeepTyper,top1k-typed-with-typed-deps,asn1,lib/ber/reader.ts,19,1,0,29
DeepTyper,top1k-typed-with-typed-deps,asn1,lib/ber/types.ts,0,0,0,0
DeepTyper,top1k-typed-with-typed-deps,asn1,lib/ber/writer.ts,24,1,0,50
DeepTyper,top1k-typed-with-typed-deps,asn1,lib/index.ts,1,0,0,1
DeepTyper,top1k-typed-with-typed-deps,brace-expansion,bench/bench.ts,3,0,0,5
DeepTyper,top1k-typed-with-typed-deps,brace-expansion,example.ts,1,0,0,1
DeepTyper,top1k-typed-with-typed-deps,brace-expansion,index.ts,10,2,0,56
DeepTyper,top1k-typed-with-typed-deps,braces,bench/index.ts,14,0,0,20
DeepTyper,top1k-typed-with-typed-deps,braces,examples/compile.ts,2,0,0,2
DeepTyper,top1k-typed-with-typed-deps,braces,examples/expand.ts,8,0,0,10
DeepTyper,top1k-typed-with-typed-deps,braces,examples/option-transform.ts,2,0,0,3
DeepTyper,top1k-typed-with-typed-deps,braces,examples/parse.ts,0,0,0,0
DeepTyper,top1k-typed-with-typed-deps,braces,index.ts,7,1,0,8
DeepTyper,top1k-typed-with-typed-deps,braces,lib/compile.ts,5,1,0,11
