"Package","Number of deps","Lines of JS code","Number of JS files","Size of files JS (bytes)","Lines of TS code","Number of TS files","Size of TS (bytes)"
lowercase-keys,0,3,1,152,5,2,601
make-error,0,253,3,8866,28,1,947
map-obj,0,51,1,1695,112,2,4859
media-typer,0,64,1,3090,0,0,0
merge-descriptors,0,22,1,1218,0,0,0
merge-stream,0,30,1,885,0,0,0
merge2,0,113,1,3241,0,0,0
methods,0,38,1,1037,0,0,0
mime,0,177,8,42551,0,0,0
mime-db,0,524,7,21041,0,0,0
mimic-fn,0,47,1,2903,25,2,1757
mimic-response,0,60,1,1585,19,2,1380
min-indent,0,8,1,191,0,0,0
minimalistic-assert,0,9,1,252,0,0,0
mkdirp,0,356,11,12199,0,0,0
mute-stream,0,117,1,3536,0,0,0
nanocolors,0,374,2,4538,56,1,1284
nanoid,0,239,9,16540,23,3,4740
natural-compare,0,39,1,1303,0,0,0
negotiator,0,628,9,22755,0,0,0
next-tick,0,62,1,2093,0,0,0
nice-try,0,7,1,687,0,0,0
node-int64,0,116,1,8052,0,0,0
normalize-path,0,145,18,5142,0,0,0
normalize-url,0,173,1,7799,53,2,8429
number-is-nan,0,4,1,108,0,0,0
nwsapi,0,3194,6,141739,0,0,0
object-assign,0,124,2,3224,0,0,0
object-inspect,0,526,7,19946,0,0,0
object-keys,0,152,3,4399,0,0,0
on-headers,0,104,2,4199,0,0,0
os-homedir,0,18,1,608,0,0,0
os-tmpdir,0,20,1,572,0,0,0
p-cancelable,0,97,1,2537,178,2,6772
p-each-series,0,12,1,368,31,2,1950
p-timeout,0,79,1,2515,68,2,4991
p-try,0,5,1,140,11,2,952
parseurl,0,341,7,11110,0,0,0
pascalcase,1,22,1,797,0,0,0
path-browserify,0,396,1,16166,0,0,0
path-exists,0,17,1,298,6,2,691
path-is-absolute,0,14,1,606,0,0,0
path-is-inside,0,21,1,858,0,0,0
path-key,0,10,1,263,10,2,918
path-parse,0,74,2,2401,0,0,0
path-type,0,34,1,1173,23,2,1694
picomatch,0,1581,23,65923,0,0,0
pify,0,126,2,3869,191,2,8771
postcss-modules-extract-imports,0,195,4,7103,0,0,0
postcss-value-parser,0,457,5,12844,68,1,4290
prelude-ls,0,2680,8,77490,0,0,0
prepend-http,0,10,1,354,8,2,792
progress,0,298,12,12053,0,0,0
promise-inflight,0,33,1,842,0,0,0
punycode,0,233,2,13163,0,0,0
querystring,0,82,3,4632,23,3,1519
querystringify,0,51,1,2564,0,0,0
queue-microtask,0,6,1,402,2,1,79
quick-lru,0,233,1,5865,40,2,3844
range-parser,0,77,1,2900,0,0,0
regenerate,0,960,2,35776,0,0,0
regexp-tree,0,4183,47,221405,214,1,8949
repeat-element,0,262,40,6175,0,0,0
repeat-string,0,426,39,10580,0,0,0
require-directory,0,59,1,2867,0,0,0
require-from-string,0,25,1,866,0,0,0
requires-port,0,21,1,753,0,0,0
resolve-from,0,39,3,1201,9,2,1210
retry,0,270,5,7676,0,0,0
rsvp,0,1164,29,70306,0,0,0
safer-buffer,0,478,3,19328,0,0,0
sax,0,1527,6,48137,0,0,0
setimmediate,0,142,1,6475,0,0,0
setprototypeof,0,14,1,407,2,1,93
shebang-regex,0,2,1,62,5,2,552
signal-exit,0,187,3,7561,0,0,0
sisteransi,0,71,2,2015,32,1,1138
slash,0,8,1,285,4,2,704
source-list-map,0,559,9,22285,0,0,0
split-on-first,0,16,1,464,7,2,682
split-string,0,124,2,5701,49,2,1574
sprintf-js,0,309,7,16295,0,0,0
stable,0,148,5,6723,7,1,305
statuses,0,245,8,8968,0,0,0
stream-shift,0,15,1,498,0,0,0
strict-uri-encode,0,2,1,144,0,0,0
strip-bom,0,9,1,347,4,2,379
strip-final-newline,0,11,1,347,0,0,0
strip-json-comments,0,94,2,3947,15,2,1302
symbol-observable,0,39,4,1683,9,2,270
symbol-tree,0,465,4,33665,0,0,0
tapable,0,1088,17,31791,100,1,4405
throat,0,163,2,4273,15,1,1003
through,0,77,1,2619,0,0,0
tmpl,0,16,1,564,0,0,0
to-fast-properties,0,17,1,1106,13,2,488
trim-newlines,0,26,1,800,11,2,858
tslib,0,532,3,28777,88,1,14652
tweetnacl,0,3071,4,145189,83,1,3103
type,0,926,59,34356,199,52,14461
typedarray-to-buffer,0,5,1,646,0,0,0
universalify,0,22,1,712,0,0,0
urix,0,11,1,308,0,0,0
util-deprecate,0,32,2,1737,0,0,0
utils-merge,0,8,1,381,0,0,0
uuid,0,1207,52,48706,0,0,0
vary,0,141,3,4976,0,0,0
webidl-conversions,0,346,1,12725,0,0,0
webpack-sources,0,3016,27,85678,0,0,0
whatwg-mimetype,0,335,6,10152,0,0,0
word-wrap,0,33,1,1068,12,1,1235
ws,0,3117,22,129890,0,0,0
xml-name-validator,0,29,2,2451,0,0,0
xtend,0,27,2,753,0,0,0
yallist,0,386,3,9176,0,0,0
yn,0,109,2,2183,14,2,1288
yocto-queue,0,50,1,1277,13,2,1297
