"Package","Contains code","Is typed","Number of deps","Number of typed deps","Percentage of typed deps"
@types_prettier,False,False,0,0,NA
@types_responselike,False,False,1,0,0.00
@types_stack-utils,False,False,0,0,NA
@types_yargs,False,False,1,0,0.00
@types_yargs-parser,False,False,0,0,NA
@webassemblyjs_ast,True,False,2,0,0.00
@webassemblyjs_floating-point-hex-parser,True,False,0,0,NA
@webassemblyjs_helper-api-error,True,False,0,0,NA
@webassemblyjs_helper-buffer,True,False,0,0,NA
@webassemblyjs_helper-code-frame,True,False,1,0,0.00
@webassemblyjs_helper-fsm,True,False,0,0,NA
@webassemblyjs_helper-module-context,True,False,1,0,0.00
@webassemblyjs_helper-numbers,True,False,3,0,0.00
@webassemblyjs_helper-wasm-bytecode,True,False,0,0,NA
@webassemblyjs_helper-wasm-section,True,False,4,0,0.00
@webassemblyjs_ieee754,True,False,1,0,0.00
@webassemblyjs_leb128,True,False,1,0,0.00
@webassemblyjs_utf8,True,False,0,0,NA
@webassemblyjs_wasm-edit,True,False,8,0,0.00
@webassemblyjs_wasm-gen,True,False,5,0,0.00
@webassemblyjs_wasm-opt,True,False,4,0,0.00
@webassemblyjs_wasm-parser,True,False,6,0,0.00
@webassemblyjs_wast-parser,True,False,6,0,0.00
@webassemblyjs_wast-printer,True,False,2,0,0.00
@xtuc_ieee754,True,False,0,0,NA
@xtuc_long,True,False,0,0,NA
abab,True,False,0,0,NA
abbrev,True,True,0,0,NA
accepts,True,True,2,2,1.00
acorn,True,False,0,0,NA
acorn-globals,True,False,2,0,0.00
acorn-import-assertions,True,False,0,0,NA
acorn-jsx,True,False,0,0,NA
acorn-walk,True,False,0,0,NA
agent-base,True,True,1,1,1.00
aggregate-error,True,False,2,0,0.00
ajv,True,False,4,1,0.25
ajv-errors,True,False,0,0,NA
ajv-keywords,True,False,1,0,0.00
ansi-align,True,False,1,0,0.00
ansi-colors,True,False,0,0,NA
ansi-escapes,True,False,1,0,0.00
ansi-regex,True,False,0,0,NA
ansi-styles,True,False,0,0,NA
anymatch,True,False,2,2,1.00
aproba,True,False,0,0,NA
are-we-there-yet,True,True,2,2,1.00
arg,True,False,0,0,NA
argparse,True,True,0,0,NA
arr-diff,True,True,0,0,NA
arr-flatten,True,False,0,0,NA
arr-union,True,True,0,0,NA
array-flatten,True,False,0,0,NA
array-includes,True,False,5,5,1.00
array-union,True,False,0,0,NA
array-uniq,True,False,0,0,NA
array-unique,True,True,0,0,NA
array.prototype.flat,True,True,3,3,1.00
arrify,True,False,0,0,NA
asap,True,True,0,0,NA
asn1,True,True,1,1,1.00
asn1.js,True,False,4,4,1.00
assert,True,True,4,0,0.00
assert-plus,True,True,0,0,NA
assign-symbols,True,False,0,0,NA
ast-types,True,False,1,0,0.00
astral-regex,True,False,0,0,NA
async,True,True,0,0,NA
async-each,True,False,0,0,NA
async-limiter,True,False,0,0,NA
asynckit,True,False,0,0,NA
at-least-node,True,False,0,0,NA
atob,True,True,0,0,NA
autoprefixer,True,False,6,1,0.17
available-typed-arrays,True,False,0,0,NA
aws-sign2,True,False,0,0,NA
aws4,True,True,0,0,NA
axios,True,False,1,1,1.00
babel-jest,True,False,8,1,0.12
babel-loader,True,False,4,2,0.50
babel-plugin-dynamic-import-node,True,False,1,0,0.00
babel-plugin-istanbul,True,False,5,1,0.20
babel-plugin-jest-hoist,True,False,4,0,0.00
babel-plugin-polyfill-corejs2,True,False,3,1,0.33
babel-plugin-polyfill-corejs3,True,False,2,0,0.00
babel-plugin-polyfill-regenerator,True,False,1,0,0.00
babel-preset-current-node-syntax,True,False,12,0,0.00
babel-preset-jest,True,False,2,0,0.00
babel-runtime,True,False,2,2,1.00
balanced-match,True,True,0,0,NA
base,True,False,5,2,0.40
base64-js,True,True,0,0,NA
bcrypt-pbkdf,True,False,1,0,0.00
big.js,True,True,0,0,NA
binary-extensions,True,False,0,0,NA
bindings,True,True,1,0,0.00
bl,True,True,3,2,0.67
bluebird,True,True,0,0,NA
bn.js,True,True,0,0,NA
body-parser,True,True,10,8,0.80
boolbase,True,True,0,0,NA
boxen,True,False,8,1,0.12
brace-expansion,True,True,1,1,1.00
braces,True,True,1,1,1.00
brorand,True,True,0,0,NA
browser-process-hrtime,True,False,0,0,NA
browserify-aes,True,False,6,4,0.67
browserify-cipher,True,False,3,0,0.00
browserify-des,True,False,4,2,0.50
browserify-rsa,True,False,2,2,1.00
browserify-sign,True,False,9,6,0.67
browserify-zlib,True,False,1,1,1.00
browserslist,True,False,5,1,0.20
bser,True,True,1,1,1.00
buffer,True,False,2,1,0.50
buffer-crc32,True,True,0,0,NA
buffer-equal-constant-time,True,False,0,0,NA
buffer-from,True,True,0,0,NA
buffer-xor,True,True,1,0,0.00
builtin-status-codes,True,False,0,0,NA
bytes,True,True,0,0,NA
cacache,True,True,18,7,0.39
cache-base,True,False,8,3,0.38
cacheable-lookup,True,False,0,0,NA
cacheable-request,True,True,7,3,0.43
call-bind,True,True,2,2,1.00
caller-callsite,True,False,1,0,0.00
caller-path,True,False,1,0,0.00
callsites,True,False,0,0,NA
camel-case,True,False,2,0,0.00
camelcase,True,False,0,0,NA
camelcase-keys,True,False,4,0,0.00
caniuse-lite,True,True,0,0,NA
capture-exit,True,False,1,1,1.00
caseless,True,True,0,0,NA
chalk,True,False,2,1,0.50
char-regex,True,False,0,0,NA
chardet,True,True,0,0,NA
chokidar,True,False,7,4,0.57
chownr,True,True,0,0,NA
chrome-trace-event,True,False,0,0,NA
ci-info,True,False,0,0,NA
cipher-base,True,True,2,1,0.50
cjs-module-lexer,True,False,0,0,NA
class-utils,True,False,4,1,0.25
clean-css,True,True,1,0,0.00
clean-stack,True,False,1,0,0.00
cli-boxes,True,False,0,0,NA
cli-cursor,True,False,1,0,0.00
cli-spinners,True,True,0,0,NA
cli-width,True,False,0,0,NA
cliui,True,False,3,1,0.33
clone,True,True,0,0,NA
clone-deep,True,True,3,1,0.33
clone-response,True,False,1,0,0.00
co,True,True,0,0,NA
code-point-at,True,False,0,0,NA
collect-v8-coverage,True,False,0,0,NA
collection-visit,True,False,2,0,0.00
color,True,True,2,2,1.00
color-convert,True,True,1,1,1.00
color-name,True,True,0,0,NA
color-string,True,True,2,2,1.00
color-support,True,True,0,0,NA
colorette,True,False,0,0,NA
colors,True,False,0,0,NA
combined-stream,True,True,1,0,0.00
commander,True,False,0,0,NA
commondir,True,True,0,0,NA
component-emitter,True,True,0,0,NA
compressible,True,True,1,1,1.00
compression,True,True,7,6,0.86
concat-map,True,True,0,0,NA
concat-stream,True,True,4,3,0.75
console-browserify,True,False,0,0,NA
console-control-strings,True,False,0,0,NA
constants-browserify,True,False,0,0,NA
content-disposition,True,True,1,0,0.00
content-type,True,True,0,0,NA
convert-source-map,True,True,1,0,0.00
cookie,True,True,0,0,NA
cookie-signature,True,True,0,0,NA
copy-concurrently,True,False,6,3,0.50
copy-descriptor,True,False,0,0,NA
core-js,True,True,0,0,NA
core-js-compat,True,False,2,1,0.50
core-js-pure,True,False,0,0,NA
core-util-is,True,False,0,0,NA
cosmiconfig,True,False,5,1,0.20
create-ecdh,True,False,2,2,1.00
create-hash,True,True,5,4,0.80
create-hmac,True,True,6,5,0.83
create-require,True,False,0,0,NA
