Package,File,"Number of errors"
regenerate-unicode-properties,General_Category/Other.ts,11
regenerate-unicode-properties,General_Category/Other_Letter.ts,10
regenerate-unicode-properties,General_Category/Other_Number.ts,3
regenerate-unicode-properties,General_Category/Other_Punctuation.ts,4
regenerate-unicode-properties,General_Category/Other_Symbol.ts,4
regenerate-unicode-properties,General_Category/Paragraph_Separator.ts,1
regenerate-unicode-properties,General_Category/Private_Use.ts,2
regenerate-unicode-properties,General_Category/Punctuation.ts,4
regenerate-unicode-properties,General_Category/Separator.ts,2
regenerate-unicode-properties,General_Category/Space_Separator.ts,2
regenerate-unicode-properties,General_Category/Spacing_Mark.ts,4
regenerate-unicode-properties,General_Category/Surrogate.ts,2
regenerate-unicode-properties,General_Category/Symbol.ts,5
regenerate-unicode-properties,General_Category/Titlecase_Letter.ts,2
regenerate-unicode-properties,General_Category/Unassigned.ts,11
regenerate-unicode-properties,General_Category/Uppercase_Letter.ts,3
regenerate-unicode-properties,Property_of_Strings/Basic_Emoji.ts,3
regenerate-unicode-properties,Property_of_Strings/Emoji_Keycap_Sequence.ts,2
regenerate-unicode-properties,Property_of_Strings/RGI_Emoji.ts,3
regenerate-unicode-properties,Property_of_Strings/RGI_Emoji_Flag_Sequence.ts,2
regenerate-unicode-properties,Property_of_Strings/RGI_Emoji_Modifier_Sequence.ts,2
regenerate-unicode-properties,Property_of_Strings/RGI_Emoji_Tag_Sequence.ts,2
regenerate-unicode-properties,Property_of_Strings/RGI_Emoji_ZWJ_Sequence.ts,2
regenerate-unicode-properties,Script/Adlam.ts,2
regenerate-unicode-properties,Script/Ahom.ts,2
regenerate-unicode-properties,Script/Anatolian_Hieroglyphs.ts,2
regenerate-unicode-properties,Script/Arabic.ts,2
regenerate-unicode-properties,Script/Armenian.ts,2
regenerate-unicode-properties,Script/Avestan.ts,2
regenerate-unicode-properties,Script/Balinese.ts,2
regenerate-unicode-properties,Script/Bamum.ts,2
regenerate-unicode-properties,Script/Bassa_Vah.ts,2
regenerate-unicode-properties,Script/Batak.ts,2
regenerate-unicode-properties,Script/Bengali.ts,2
regenerate-unicode-properties,Script/Bhaiksuki.ts,2
regenerate-unicode-properties,Script/Bopomofo.ts,2
regenerate-unicode-properties,Script/Brahmi.ts,2
regenerate-unicode-properties,Script/Braille.ts,2
regenerate-unicode-properties,Script/Buginese.ts,2
regenerate-unicode-properties,Script/Buhid.ts,2
regenerate-unicode-properties,Script/Canadian_Aboriginal.ts,2
regenerate-unicode-properties,Script/Carian.ts,2
regenerate-unicode-properties,Script/Caucasian_Albanian.ts,2
regenerate-unicode-properties,Script/Chakma.ts,2
regenerate-unicode-properties,Script/Cham.ts,2
regenerate-unicode-properties,Script/Cherokee.ts,2
regenerate-unicode-properties,Script/Chorasmian.ts,2
regenerate-unicode-properties,Script/Common.ts,4
regenerate-unicode-properties,Script/Coptic.ts,2
regenerate-unicode-properties,Script/Cuneiform.ts,2
regenerate-unicode-properties,Script/Cypriot.ts,2
regenerate-unicode-properties,Script/Cypro_Minoan.ts,2
regenerate-unicode-properties,Script/Cyrillic.ts,2
regenerate-unicode-properties,Script/Deseret.ts,2
regenerate-unicode-properties,Script/Devanagari.ts,2
regenerate-unicode-properties,Script/Dives_Akuru.ts,2
regenerate-unicode-properties,Script/Dogra.ts,2
regenerate-unicode-properties,Script/Duployan.ts,2
regenerate-unicode-properties,Script/Egyptian_Hieroglyphs.ts,2
regenerate-unicode-properties,Script/Elbasan.ts,2
regenerate-unicode-properties,Script/Elymaic.ts,2
regenerate-unicode-properties,Script/Ethiopic.ts,2
regenerate-unicode-properties,Script/Georgian.ts,2
regenerate-unicode-properties,Script/Glagolitic.ts,2
regenerate-unicode-properties,Script/Gothic.ts,2
regenerate-unicode-properties,Script/Grantha.ts,2
regenerate-unicode-properties,Script/Greek.ts,2
regenerate-unicode-properties,Script/Gujarati.ts,2
regenerate-unicode-properties,Script/Gunjala_Gondi.ts,2
regenerate-unicode-properties,Script/Gurmukhi.ts,2
regenerate-unicode-properties,Script/Han.ts,2
regenerate-unicode-properties,Script/Hangul.ts,2
regenerate-unicode-properties,Script/Hanifi_Rohingya.ts,2
regenerate-unicode-properties,Script/Hanunoo.ts,2
regenerate-unicode-properties,Script/Hatran.ts,2
regenerate-unicode-properties,Script/Hebrew.ts,2
regenerate-unicode-properties,Script/Hiragana.ts,2
regenerate-unicode-properties,Script/Imperial_Aramaic.ts,2
regenerate-unicode-properties,Script/Inherited.ts,2
regenerate-unicode-properties,Script/Inscriptional_Pahlavi.ts,2
regenerate-unicode-properties,Script/Inscriptional_Parthian.ts,2
regenerate-unicode-properties,Script/Javanese.ts,2
regenerate-unicode-properties,Script/Kaithi.ts,2
regenerate-unicode-properties,Script/Kannada.ts,2
regenerate-unicode-properties,Script/Katakana.ts,2
regenerate-unicode-properties,Script/Kayah_Li.ts,2
regenerate-unicode-properties,Script/Kharoshthi.ts,2
regenerate-unicode-properties,Script/Khitan_Small_Script.ts,2
regenerate-unicode-properties,Script/Khmer.ts,2
regenerate-unicode-properties,Script/Khojki.ts,2
regenerate-unicode-properties,Script/Khudawadi.ts,2
regenerate-unicode-properties,Script/Lao.ts,2
regenerate-unicode-properties,Script/Latin.ts,2
regenerate-unicode-properties,Script/Lepcha.ts,2
regenerate-unicode-properties,Script/Limbu.ts,2
regenerate-unicode-properties,Script/Linear_A.ts,2
regenerate-unicode-properties,Script/Linear_B.ts,2
regenerate-unicode-properties,Script/Lisu.ts,2
regenerate-unicode-properties,Script/Lycian.ts,2
regenerate-unicode-properties,Script/Lydian.ts,2
regenerate-unicode-properties,Script/Mahajani.ts,2
regenerate-unicode-properties,Script/Makasar.ts,2
regenerate-unicode-properties,Script/Malayalam.ts,2
regenerate-unicode-properties,Script/Mandaic.ts,2
regenerate-unicode-properties,Script/Manichaean.ts,2
regenerate-unicode-properties,Script/Marchen.ts,2
regenerate-unicode-properties,Script/Masaram_Gondi.ts,2
regenerate-unicode-properties,Script/Medefaidrin.ts,2
regenerate-unicode-properties,Script/Meetei_Mayek.ts,2
regenerate-unicode-properties,Script/Mende_Kikakui.ts,2
regenerate-unicode-properties,Script/Meroitic_Cursive.ts,2
regenerate-unicode-properties,Script/Meroitic_Hieroglyphs.ts,2
regenerate-unicode-properties,Script/Miao.ts,2
regenerate-unicode-properties,Script/Modi.ts,2
regenerate-unicode-properties,Script/Mongolian.ts,2
regenerate-unicode-properties,Script/Mro.ts,2
regenerate-unicode-properties,Script/Multani.ts,2
regenerate-unicode-properties,Script/Myanmar.ts,2
regenerate-unicode-properties,Script/Nabataean.ts,2
regenerate-unicode-properties,Script/Nandinagari.ts,2
regenerate-unicode-properties,Script/New_Tai_Lue.ts,2
regenerate-unicode-properties,Script/Newa.ts,2
regenerate-unicode-properties,Script/Nko.ts,2
regenerate-unicode-properties,Script/Nushu.ts,2
regenerate-unicode-properties,Script/Nyiakeng_Puachue_Hmong.ts,2
regenerate-unicode-properties,Script/Ogham.ts,2
regenerate-unicode-properties,Script/Ol_Chiki.ts,2
regenerate-unicode-properties,Script/Old_Hungarian.ts,2
regenerate-unicode-properties,Script/Old_Italic.ts,2
regenerate-unicode-properties,Script/Old_North_Arabian.ts,2
regenerate-unicode-properties,Script/Old_Permic.ts,2
regenerate-unicode-properties,Script/Old_Persian.ts,2
regenerate-unicode-properties,Script/Old_Sogdian.ts,2
regenerate-unicode-properties,Script/Old_South_Arabian.ts,2
regenerate-unicode-properties,Script/Old_Turkic.ts,2
regenerate-unicode-properties,Script/Old_Uyghur.ts,2
regenerate-unicode-properties,Script/Oriya.ts,2
regenerate-unicode-properties,Script/Osage.ts,2
regenerate-unicode-properties,Script/Osmanya.ts,2
regenerate-unicode-properties,Script/Pahawh_Hmong.ts,2
regenerate-unicode-properties,Script/Palmyrene.ts,2
regenerate-unicode-properties,Script/Pau_Cin_Hau.ts,2
regenerate-unicode-properties,Script/Phags_Pa.ts,2
regenerate-unicode-properties,Script/Phoenician.ts,2
regenerate-unicode-properties,Script/Psalter_Pahlavi.ts,2
regenerate-unicode-properties,Script/Rejang.ts,2
regenerate-unicode-properties,Script/Runic.ts,2
regenerate-unicode-properties,Script/Samaritan.ts,2
regenerate-unicode-properties,Script/Saurashtra.ts,2
regenerate-unicode-properties,Script/Sharada.ts,2
regenerate-unicode-properties,Script/Shavian.ts,2
regenerate-unicode-properties,Script/Siddham.ts,2
regenerate-unicode-properties,Script/SignWriting.ts,2
regenerate-unicode-properties,Script/Sinhala.ts,2
regenerate-unicode-properties,Script/Sogdian.ts,2
regenerate-unicode-properties,Script/Sora_Sompeng.ts,2
regenerate-unicode-properties,Script/Soyombo.ts,2
regenerate-unicode-properties,Script/Sundanese.ts,2
regenerate-unicode-properties,Script/Syloti_Nagri.ts,2
regenerate-unicode-properties,Script/Syriac.ts,2
regenerate-unicode-properties,Script/Tagalog.ts,2
regenerate-unicode-properties,Script/Tagbanwa.ts,2
regenerate-unicode-properties,Script/Tai_Le.ts,2
regenerate-unicode-properties,Script/Tai_Tham.ts,2
regenerate-unicode-properties,Script/Tai_Viet.ts,2
regenerate-unicode-properties,Script/Takri.ts,2
regenerate-unicode-properties,Script/Tamil.ts,2
regenerate-unicode-properties,Script/Tangsa.ts,2
regenerate-unicode-properties,Script/Tangut.ts,2
regenerate-unicode-properties,Script/Telugu.ts,2
regenerate-unicode-properties,Script/Thaana.ts,2
regenerate-unicode-properties,Script/Thai.ts,2
regenerate-unicode-properties,Script/Tibetan.ts,2
regenerate-unicode-properties,Script/Tifinagh.ts,2
regenerate-unicode-properties,Script/Tirhuta.ts,2
regenerate-unicode-properties,Script/Toto.ts,2
regenerate-unicode-properties,Script/Ugaritic.ts,2
regenerate-unicode-properties,Script/Vai.ts,2
regenerate-unicode-properties,Script/Vithkuqi.ts,2
regenerate-unicode-properties,Script/Wancho.ts,2
regenerate-unicode-properties,Script/Warang_Citi.ts,2
regenerate-unicode-properties,Script/Yezidi.ts,2
regenerate-unicode-properties,Script/Yi.ts,2
regenerate-unicode-properties,Script/Zanabazar_Square.ts,2
regenerate-unicode-properties,Script_Extensions/Adlam.ts,2
regenerate-unicode-properties,Script_Extensions/Ahom.ts,2
regenerate-unicode-properties,Script_Extensions/Anatolian_Hieroglyphs.ts,2
regenerate-unicode-properties,Script_Extensions/Arabic.ts,2
regenerate-unicode-properties,Script_Extensions/Armenian.ts,2
regenerate-unicode-properties,Script_Extensions/Avestan.ts,2
regenerate-unicode-properties,Script_Extensions/Balinese.ts,2
regenerate-unicode-properties,Script_Extensions/Bamum.ts,2
regenerate-unicode-properties,Script_Extensions/Bassa_Vah.ts,2
regenerate-unicode-properties,Script_Extensions/Batak.ts,2
regenerate-unicode-properties,Script_Extensions/Bengali.ts,2
regenerate-unicode-properties,Script_Extensions/Bhaiksuki.ts,2
regenerate-unicode-properties,Script_Extensions/Bopomofo.ts,2
regenerate-unicode-properties,Script_Extensions/Brahmi.ts,2
regenerate-unicode-properties,Script_Extensions/Braille.ts,2
